index,County,Precinct,Registered Voters,Brad Shealy (I) (Rep)_Election Day Votes,Brad Shealy (I) (Rep)_Advanced Voting Votes,Brad Shealy (I) (Rep)_Absentee by Mail Votes,Brad Shealy (I) (Rep)_Provisional Votes,Brad Shealy (I) (Rep)_Choice Total,Total,
0,Colquitt,Shaw,3487,156,462,233,0,851,851,
1,Colquitt,Moultrie,4809,469,1434,451,1,2355,2355,
2,Colquitt,Autreyville,1512,287,447,89,2,825,825,
3,Colquitt,Bridgecreek,1191,278,456,95,2,831,831,
4,Colquitt,Crosland,289,90,38,19,0,147,147,
5,Colquitt,Doerun,619,188,131,32,0,351,351,
6,Colquitt,Funston,1030,293,280,73,3,649,649,
7,Colquitt,Hamilton,784,272,210,50,0,532,532,
8,Colquitt,Hartsfield,408,172,88,43,1,304,304,
9,Colquitt,Hopewell,1670,288,637,134,2,1061,1061,
10,Colquitt,Lee,1094,227,302,82,0,611,611,
11,Colquitt,Millcreek,422,113,138,39,0,290,290,
12,Colquitt,Monk,1555,360,481,112,0,953,953,
13,Colquitt,Murphy,973,191,447,67,0,705,705,
14,Colquitt,Norman Park,2586,463,757,202,0,1422,1422,
15,Colquitt,Robinson,860,244,211,54,0,509,509,
16,Colquitt,Thigpen,251,101,45,19,0,165,165,
17,Colquitt,Tyty,543,231,81,34,0,346,346,
18,Colquitt,Warrior,971,285,258,69,0,612,612,
