County,YES_Election Day Votes,YES_Absentee by Mail Votes,YES_Advanced Voting Votes,YES_Provisional Votes,YES_TOTAL VOTES,NO_Election Day Votes,NO_Absentee by Mail Votes,NO_Advanced Voting Votes,NO_Provisional Votes,NO_TOTAL VOTES,Total,
Jeff Davis,1104,576,2177,0,3857,377,136,703,0,1216,5073,
Jefferson,1435,1148,2572,7,5162,525,373,837,4,1739,6901,
Jenkins,597,501,1259,4,2361,208,182,365,0,755,3116,
Johnson,666,455,1472,0,2593,237,150,617,0,1004,3597,
Jones,2920,2293,5950,6,11169,788,496,1679,0,2963,14132,
Lamar,1666,1349,3623,3,6641,482,289,1163,5,1939,8580,
Lanier,529,410,1687,0,2626,117,111,473,0,701,3327,
Laurens,5296,3688,6982,5,15971,1860,1074,2404,1,5339,21310,
Lee,3090,1850,7911,5,12856,728,429,1924,1,3082,15938,
Liberty,2534,4216,8983,0,15733,734,1032,2626,0,4392,20125,
Lincoln,841,760,1733,0,3334,261,191,491,0,943,4277,
Long,1154,580,2445,11,4190,288,137,675,5,1105,5295,
Lowndes,6113,7113,20766,311,34303,1780,1606,5771,78,9235,43538,
Lumpkin,1898,2673,7681,0,12252,389,444,1652,0,2485,14737,
Macon,723,613,1770,0,3106,218,142,571,0,931,4037,
Madison,3267,2337,5803,1,11408,767,442,1333,2,2544,13952,
Marion,675,556,1223,0,2454,240,150,460,0,850,3304,
McDuffie,1044,1907,4820,0,7771,350,392,1437,0,2179,9950,
McIntosh,904,1241,2700,0,4845,275,330,741,1,1347,6192,
Meriwether,2375,1828,3495,6,7704,848,472,1136,0,2456,10160,
Miller,490,329,1043,1,1863,128,94,379,0,601,2464,
Mitchell,1672,1579,3118,5,6374,558,476,988,2,2024,8398,
Monroe,2818,1897,6994,2,11711,835,372,1782,3,2992,14703,
Montgomery,975,472,1353,0,2800,290,110,410,0,810,3610,
Morgan,1834,1601,5629,3,9067,456,276,1242,2,1976,11043,
Murray,3152,1510,6134,0,10796,889,370,1740,0,2999,13795,
Muscogee,9761,18762,31781,34,60338,2849,3931,8767,6,15553,75891,
Newton,12892,11834,15176,24,39926,4217,2799,4652,5,11673,51599,
Oconee,2809,4791,12914,3,20517,540,670,2247,0,3457,23974,
Oglethorpe,1109,1430,3600,3,6142,293,270,872,0,1435,7577,
Paulding,10486,15924,38989,0,65399,2601,2938,9646,0,15185,80584,
Peach,1316,1934,5970,10,9230,399,460,1761,5,2625,11855,
Pickens,4998,2443,5550,6,12997,1330,322,1428,1,3081,16078,
Pierce,1030,948,4636,0,6614,227,218,1239,0,1684,8298,
Pike,2020,1171,5039,0,8230,493,219,1245,0,1957,10187,
Polk,2573,2148,8149,16,12886,736,435,2289,4,3464,16350,
Pulaski,347,456,2042,0,2845,104,135,582,1,822,3667,
Putnam,1556,2510,4909,0,8975,402,562,1364,0,2328,11303,
Quitman,192,140,329,1,662,106,60,165,0,331,993,
Rabun,1042,2112,4311,0,7465,280,327,879,0,1486,8951,
Randolph,493,474,1194,3,2164,179,154,360,0,693,2857,
Richmond,15285,21269,28707,0,65261,4640,4910,7847,0,17397,82658,
Rockdale,4466,9839,19417,17,33739,1422,2036,5389,15,8862,42601,
Schley,253,232,1033,1,1519,84,45,382,0,511,2030,
Screven,1360,935,2433,12,4740,397,234,702,5,1338,6078,
Seminole,853,380,1481,0,2714,311,107,452,0,870,3584,
Spalding,5597,5977,9591,585,21750,1846,1301,3057,211,6415,28165,
Stephens,1118,1621,5769,2,8510,323,351,1784,1,2459,10969,
Stewart,322,277,587,7,1193,103,121,229,3,456,1649,
Sumter,1854,2159,4649,16,8678,663,532,1520,2,2717,11395,
Talbot,712,778,925,1,2416,232,267,289,0,788,3204,
Taliaferro,117,154,247,0,518,46,65,103,0,214,732,
Tattnall,1460,972,3485,0,5917,354,241,912,0,1507,7424,
Taylor,440,582,1629,8,2659,151,142,571,3,867,3526,
Telfair,817,705,1312,5,2839,308,173,518,1,1000,3839,
Terrell,892,818,1431,1,3142,289,247,498,0,1034,4176,
Thomas,3079,3063,9874,3,16019,902,693,2714,1,4310,20329,
Tift,2757,1955,7049,17,11778,879,519,1997,9,3404,15182,
Toombs,1713,1654,4451,6,7824,553,430,1358,2,2343,10167,
Towns,855,1530,3631,5,6021,183,241,840,1,1265,7286,
Treutlen,368,375,1243,0,1986,124,143,486,0,753,2739,
Troup,5546,4933,11869,53,22401,1614,1064,3227,15,5920,28321,
Turner,507,374,1758,2,2641,140,114,593,0,847,3488,
Twiggs,844,714,1440,2,3000,328,229,469,1,1027,4027,
Union,2772,2868,6423,7,12070,646,446,1293,3,2388,14458,
Upson,1517,2046,5921,3,9487,402,515,1692,1,2610,12097,
Walker,5186,4434,12887,7,22514,1110,901,2907,2,4920,27434,
Walton,8691,8198,22189,0,39078,2140,1607,5696,0,9443,48521,
Ware,2053,2240,5309,0,9602,959,610,2249,0,3818,13420,
Warren,324,517,952,0,1793,127,168,324,0,619,2412,
Washington,1668,1713,2803,7,6191,633,579,1114,1,2327,8518,
Wayne,2207,1561,5703,7,9478,611,394,1553,0,2558,12036,
Webster,191,242,489,0,922,65,63,195,0,323,1245,
Wheeler,441,280,835,0,1556,148,79,298,0,525,2081,
White,3003,2464,6102,4,11573,770,469,1309,0,2548,14121,
Whitfield,8424,4870,13100,39,26433,2486,1005,3550,15,7056,33489,
Wilcox,727,415,1203,0,2345,230,90,360,0,680,3025,
Wilkes,825,857,1783,5,3470,303,254,566,2,1125,4595,
Wilkinson,1187,609,1385,5,3186,512,176,535,1,1224,4410,
Worth,2428,1151,3055,0,6634,783,313,967,0,2063,8697,
