County,Precinct,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
Madison,Colbert,3342,415,896,305,1,1617,159,313,126,0,598,2215,
Madison,Collins,647,139,137,43,0,319,58,45,19,0,122,441,
Madison,Comer,1441,235,345,151,0,731,79,123,82,0,284,1015,
Madison,Danielsville,3003,237,892,274,0,1403,83,385,111,0,579,1982,
Madison,Fork,566,135,88,39,0,262,52,37,27,0,116,378,
Madison,Harrison,610,160,117,41,0,318,73,37,20,0,130,448,
Madison,Hull,4376,537,1055,458,1,2051,183,379,158,1,721,2772,
Madison,Ila,1746,234,395,135,0,764,94,171,81,0,346,1110,
Madison,Mill,1646,253,447,118,0,818,81,173,71,1,326,1144,
Madison,Paoli,267,77,50,24,0,151,28,18,10,0,56,207,
Madison,Pittman,1949,305,466,226,0,997,111,172,83,0,366,1363,
Madison,Poca,1127,213,235,100,0,548,80,100,32,0,212,760,
