

                                                                                                                                                                                                                                 President of the United States
                                                            Donald J. Trump (I) (Rep)                                                                                                                             Joseph R. Biden (Dem)                                                                                                                                 Jo Jorgensen (Lib)                                                                                                                                    
County                        Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Total                         
Fayette                       6352                          7379                          22585                         0                             36316                         3400                          11148                         17315                         0                             31863                         279                           232                           420                           0                             931                           69110                         
Floyd                         7897                          4436                          14612                         114                           27059                         2154                          3976                          4806                          23                            10959                         199                           98                            199                           0                             496                           38514                         
Forsyth                       9740                          14612                         60739                         31                            85122                         3375                          15682                         23125                         21                            42203                         415                           477                           1087                          1                             1980                          129305                        
Franklin                      2299                          1404                          5364                          2                             9069                          348                           598                           647                           0                             1593                          31                            25                            47                            0                             103                           10765                         
Fulton                        19250                         29479                         87071                         916                           136716                        37168                         115788                        223614                        2525                          379095                        1422                          1727                          2994                          96                            6239                          522050                        
Gilmer                        4371                          2183                          6863                          12                            13429                         453                           1270                          1209                          0                             2932                          64                            35                            64                            1                             164                           16525                         
Glascock                      403                           205                           795                           0                             1403                          40                            53                            62                            0                             155                           3                             1                             4                             0                             8                             1566                          
Glynn                         4701                          4388                          16492                         35                            25616                         2153                          5735                          7969                          22                            15879                         149                           105                           234                           1                             489                           41984                         
Gordon                        6986                          2538                          9866                          15                            19405                         1003                          1464                          1916                          1                             4384                          107                           51                            86                            0                             244                           24033                         
Grady                         2028                          1103                          3896                          0                             7027                          635                           1112                          1861                          0                             3608                          25                            11                            18                            0                             54                            10689                         
Greene                        844                           1275                          4947                          2                             7068                          583                           1532                          1965                          8                             4088                          21                            19                            51                            0                             91                            11247                         
Gwinnett                      35271                         40396                         90472                         274                           166413                        35793                         81502                         124125                        407                           241827                        1742                          1679                          2186                          18                            5625                          413865                        
Habersham                     2628                          2905                          11083                         21                            16637                         511                           1315                          1733                          4                             3563                          64                            42                            126                           0                             232                           20432                         
Hall                          11111                         11995                         40999                         0                             64105                         3847                          9204                          11951                         0                             25002                         402                           304                           611                           0                             1317                          90424                         
Hancock                       274                           244                           641                           0                             1159                          624                           1223                          1135                          3                             2985                          10                            7                             4                             0                             21                            4165                          
Haralson                      4317                          1786                          6224                          4                             12331                         375                           671                           746                           0                             1792                          55                            30                            40                            0                             125                           14248                         
Harris                        5592                          2087                          6627                          13                            14319                         1278                          2067                          2106                          6                             5457                          103                           62                            50                            0                             215                           19991                         
Hart                          2338                          1437                          5687                          2                             9464                          560                           1128                          1467                          2                             3157                          43                            20                            43                            0                             106                           12727                         
Heard                         1641                          677                           2197                          1                             4516                          184                           296                           343                           1                             824                           21                            11                            19                            0                             51                            5391                          
Henry                         8143                          8134                          31879                         31                            48187                         8191                          20858                         44156                         71                            73276                         322                           310                           645                           2                             1279                          122742                        
Houston                       11644                         8163                          21677                         50                            41534                         6349                          11867                         13970                         46                            32232                         422                           294                           339                           2                             1057                          74823                         
Irwin                         655                           369                           2106                          4                             3134                          227                           257                           523                           1                             1008                          8                             1                             17                            0                             26                            4168                          
Jackson                       4961                          4395                          20135                         6                             29497                         1053                          2797                          3791                          1                             7642                          157                           116                           258                           0                             531                           37670                         
Jasper                        1547                          808                           3455                          12                            5822                          294                           680                           785                           2                             1761                          22                            18                            21                            0                             61                            7644                          
Jeff Davis                    1418                          528                           2749                          0                             4695                          248                           273                           507                           0                             1028                          18                            13                            17                            0                             48                            5771                          
Jefferson                     1096                          446                           1992                          3                             3537                          1056                          1274                          1723                          8                             4061                          18                            6                             20                            0                             44                            7642                          
Jenkins                       579                           335                           1244                          3                             2161                          292                           416                           557                           1                             1266                          15                            5                             8                             0                             28                            3455                          
Johnson                       771                           331                           1748                          0                             2850                          209                           420                           593                           0                             1222                          9                             6                             13                            0                             28                            4100                          
Jones                         3023                          1272                          5666                          4                             9965                          841                           1689                          2356                          2                             4888                          47                            18                            47                            1                             113                           14966                         
Lamar                         1743                          807                           3772                          8                             6330                          472                           936                           1204                          3                             2615                          40                            14                            40                            0                             94                            9039                          
Lanier                        481                           250                           1778                          0                             2509                          204                           298                           517                           0                             1019                          13                            10                            25                            0                             48                            3576                          
Laurens                       5660                          2351                          6479                          3                             14493                         1884                          2735                          3451                          3                             8073                          62                            38                            63                            0                             163                           22729                         
