index,County,Precinct,Registered Voters,Rebecca (Becky) G. Crowe (I) (Rep)_Election Day Votes,Rebecca (Becky) G. Crowe (I) (Rep)_Advanced Voting Votes,Rebecca (Becky) G. Crowe (I) (Rep)_Absentee by Mail Votes,Rebecca (Becky) G. Crowe (I) (Rep)_Provisional Votes,Rebecca (Becky) G. Crowe (I) (Rep)_Choice Total,Total,
0,Bryan,Pembroke,2653,312,897,170,0,1379,1379,
1,Bryan,Danielsiding,2291,266,934,218,0,1418,1418,
2,Bryan,Ellabell,2341,406,874,156,1,1437,1437,
3,Bryan,Black Creek,2995,395,1013,193,1,1602,1602,
4,Bryan,Ways Station,1974,217,606,147,1,971,971,
5,Bryan,RH Rec Complex,3264,289,1060,247,1,1597,1597,
6,Bryan,JF Gregory Park,2885,176,1458,276,0,1910,1910,
7,Bryan,Keller,4270,379,1997,345,0,2721,2721,
8,Bryan,Hwy 144 East,5365,392,2300,515,1,3208,3208,
9,Bryan,Public Safety Complex,2570,268,813,175,1,1257,1257,
