index,County,Precinct,Registered Voters,Jason Shaw (I) (Rep)_Election Day Votes,Jason Shaw (I) (Rep)_Advanced Voting Votes,Jason Shaw (I) (Rep)_Absentee by Mail Votes,Jason Shaw (I) (Rep)_Provisional Votes,Jason Shaw (I) (Rep)_Choice Total,Robert G. Bryant (Dem)_Election Day Votes,Robert G. Bryant (Dem)_Advanced Voting Votes,Robert G. Bryant (Dem)_Absentee by Mail Votes,Robert G. Bryant (Dem)_Provisional Votes,Robert G. Bryant (Dem)_Choice Total,Elizabeth Melton (Lib)_Election Day Votes,Elizabeth Melton (Lib)_Advanced Voting Votes,Elizabeth Melton (Lib)_Absentee by Mail Votes,Elizabeth Melton (Lib)_Provisional Votes,Elizabeth Melton (Lib)_Choice Total,Total,
0,Bryan,Pembroke,2653,218,709,117,0,1044,108,312,98,0,518,18,22,15,0,55,1617,
1,Bryan,Danielsiding,2291,233,795,155,0,1183,33,187,151,0,371,25,51,14,0,90,1644,
2,Bryan,Ellabell,2341,361,774,126,1,1262,65,126,80,0,271,13,16,9,0,38,1571,
3,Bryan,Black Creek,2995,328,886,156,1,1371,84,182,101,0,367,21,29,10,0,60,1798,
4,Bryan,Ways Station,1974,175,449,70,1,695,59,246,181,1,487,10,37,11,0,58,1240,
5,Bryan,RH Rec Complex,3264,204,789,131,1,1125,96,446,260,0,802,27,44,26,0,97,2024,
6,Bryan,JF Gregory Park,2885,145,1280,207,0,1632,30,266,169,0,465,16,61,19,0,96,2193,
7,Bryan,Keller,4270,306,1699,217,0,2222,75,484,290,0,849,25,86,36,0,147,3218,
8,Bryan,Hwy 144 East,5365,318,1862,338,0,2518,94,770,349,1,1214,28,87,41,0,156,3888,
9,Bryan,Public Safety Complex,2570,198,624,95,0,917,84,326,171,1,582,25,42,15,0,82,1581,
