index,County,Precinct,Registered Voters,Dell F. McGregor_Election Day Votes,Dell F. McGregor_Advanced Voting Votes,Dell F. McGregor_Absentee by Mail Votes,Dell F. McGregor_Provisional Votes,Dell F. McGregor_Choice Total,Total,
70,DeKalb,Glenhaven,1880,209,429,299,2,939,939,
71,DeKalb,Gresham Road,3601,191,1039,689,13,1932,1932,
72,DeKalb,Georgetown Sq,4155,280,1352,595,7,2234,2234,
73,DeKalb,Glenwood Road,2293,188,475,358,3,1024,1024,
74,DeKalb,Hambrick Elem,3776,292,997,589,11,1889,1889,
75,DeKalb,Hawthorne Elem,3884,286,1151,632,5,2074,2074,
76,DeKalb,Henderson Mill,3104,196,959,647,2,1804,1804,
77,DeKalb,Huntley Hills Elem,3508,320,1143,472,5,1940,1940,
78,DeKalb,Hugh Howell,1773,161,529,339,1,1030,1030,
79,DeKalb,Harris-Narvie J Harris Elem,4031,163,1472,684,9,2328,2328,
80,DeKalb,Harris-Margaret Harris ED,1462,129,468,283,5,885,885,
81,DeKalb,Idlewood Elem,2472,220,678,397,8,1303,1303,
82,DeKalb,Indian Creek,2318,170,459,331,10,970,970,
83,DeKalb,Johnson Estates,1600,54,488,478,0,1020,1020,
84,DeKalb,Jolly Elem,3679,228,812,553,11,1604,1604,
85,DeKalb,Kelley Lake Elem,3015,247,674,524,3,1448,1448,
86,DeKalb,Kingsley Elem,2490,199,737,531,9,1476,1476,
87,DeKalb,Kelley Chapel Road,1337,120,423,280,1,824,824,
88,DeKalb,Knollwood,2546,248,610,410,9,1277,1277,
89,DeKalb,Kittredge Elem,2161,145,767,452,4,1368,1368,
90,DeKalb,Lakeside High,3216,221,1004,681,0,1906,1906,
91,DeKalb,Lavista Road,2223,142,542,583,4,1271,1271,
92,DeKalb,Lavista,3223,207,819,591,8,1625,1625,
93,DeKalb,Lithonia,1730,217,366,193,1,777,777,
94,DeKalb,Lin-Mary Lin Elem,3009,141,979,786,8,1914,1914,
95,DeKalb,Lithonia High,3610,316,956,476,11,1759,1759,
96,DeKalb,Livsey Elem,1350,94,463,285,0,842,842,
97,DeKalb,Miller-Eldridge L Miller Elem 3455,279,868,642,6,1795,1795,,
98,DeKalb,McNair High,4160,254,1276,833,5,2368,2368,
99,DeKalb,Marbut Elem,4234,291,1255,549,17,2112,2112,
100,DeKalb,McNair,2794,171,750,530,4,1455,1455,
101,DeKalb,McLendon,3607,184,957,801,7,1949,1949,
102,DeKalb,McWilliams,2517,131,867,501,3,1502,1502,
103,DeKalb,Medlock,2208,131,654,595,2,1382,1382,
104,DeKalb,Midvale Elem,2747,184,867,637,3,1691,1691,
105,DeKalb,Miller Grove,4747,318,1264,597,12,2191,2191,
106,DeKalb,Montclair Elem,2194,213,616,216,5,1050,1050,
107,DeKalb,Montreal,2586,195,762,462,2,1421,1421,
108,DeKalb,Meadowview,3511,219,883,682,11,1795,1795,
109,DeKalb,Memorial South,3138,227,601,328,13,1169,1169,
110,DeKalb,Midway,3139,173,691,559,6,1429,1429,
111,DeKalb,McNair Academy,1900,125,557,388,4,1074,1074,
112,DeKalb,Mount Vernon East,2651,194,935,458,2,1589,1589,
113,DeKalb,Mathis-Bob Mathis Elem,2789,203,857,614,5,1679,1679,
114,DeKalb,Mount Vernon West,2303,120,861,395,9,1385,1385,
115,DeKalb,Metropolitan,3405,161,1218,654,9,2042,2042,
116,DeKalb,Montgomery Elem,2446,180,801,497,5,1483,1483,
117,DeKalb,Miller Grove Road,2151,171,660,436,4,1271,1271,
118,DeKalb,Midvale Road,1832,155,605,305,2,1067,1067,
119,DeKalb,Miller Grove High,3470,258,879,409,7,1553,1553,
120,DeKalb,North Decatur,2166,122,585,459,9,1175,1175,
121,DeKalb,North Hairston,2329,205,560,374,6,1145,1145,
122,DeKalb,Northlake,1509,130,420,376,0,926,926,
123,DeKalb,North Peachtree,1916,166,516,279,3,964,964,
124,DeKalb,Oak Grove Elem,2253,177,651,554,0,1382,1382,
125,DeKalb,Oakcliff Elem,2125,259,443,288,9,999,999,
126,DeKalb,Oakhurst,2398,105,916,607,1,1629,1629,
127,DeKalb,Oak View Elem,5011,324,1543,674,18,2559,2559,
128,DeKalb,Peachcrest,2458,160,578,397,4,1139,1139,
129,DeKalb,Peachtree Middle,3502,252,1143,556,4,1955,1955,
130,DeKalb,Princeton Elem,2376,159,782,411,5,1357,1357,
131,DeKalb,Pine Lake,632,225,120,58,0,403,403,
132,DeKalb,Pleasantdale Road,4538,410,1113,545,8,2076,2076,
133,DeKalb,Ponce de Leon,3766,112,810,721,11,1654,1654,
134,DeKalb,Panola,1586,117,429,293,2,841,841,
135,DeKalb,Panola Way Elem,2252,187,522,283,18,1010,1010,
136,DeKalb,Piney Grove,2018,150,474,308,7,939,939,
137,DeKalb,Panola Road,2884,180,917,489,6,1592,1592,
138,DeKalb,Rainbow Elem,3768,245,1094,726,7,2072,2072,
139,DeKalb,Redan Elem,3020,184,1031,522,7,1744,1744,
140,DeKalb,Rehoboth,1813,109,465,526,3,1103,1103,
141,DeKalb,Rockbridge Elem,3595,290,854,454,15,1613,1613,
142,DeKalb,Rock Chapel Elem,2910,197,1026,467,7,1697,1697,
143,DeKalb,Rowland Elem,3765,273,813,518,6,1610,1610,
144,DeKalb,Redan-Trotti Library,3990,249,1105,650,19,2023,2023,
145,DeKalb,Rockbridge Road,3965,283,1350,861,6,2500,2500,
146,DeKalb,Rowland Road,2080,169,521,364,8,1062,1062,
147,DeKalb,Redan Road,2932,209,827,451,8,1495,1495,
148,DeKalb,Rock Chapel Road,4178,249,1473,721,14,2457,2457,
149,DeKalb,Redan Middle,2496,141,752,467,4,1364,1364,
150,DeKalb,Sagamore Hills Elem,2925,212,870,789,0,1871,1871,
151,DeKalb,Scott,2805,126,774,788,1,1689,1689,
152,DeKalb,Shaw-Robert Shaw Elem,2892,233,778,524,3,1538,1538,
153,DeKalb,Stone Mountain Elem,2338,148,480,563,2,1193,1193,
154,DeKalb,Silver Lake,4979,248,1527,881,3,2659,2659,
155,DeKalb,Skyland,2100,179,686,366,5,1236,1236,
156,DeKalb,Snapfinger Elem,1894,145,564,440,0,1149,1149,
157,DeKalb,Smoke Rise,2108,162,658,461,1,1282,1282,
158,DeKalb,Stone Mtn Middle,3247,267,559,305,14,1145,1145,
159,DeKalb,Stone Mill Elem,3714,322,604,421,12,1359,1359,
160,DeKalb,Shadow Rock Elem,4347,273,1393,910,9,2585,2585,
161,DeKalb,Stoneview Elem,1988,154,440,229,9,832,832,
162,DeKalb,Salem Middle,3519,203,1254,769,7,2233,2233,
163,DeKalb,Shamrock,1600,139,430,428,4,1001,1001,
164,DeKalb,South Deshon,3470,241,1156,564,10,1971,1971,
165,DeKalb,Stone Mtn Champion,3098,283,684,413,9,1389,1389,
166,DeKalb,Stone Mtn,1711,173,344,280,2,799,799,
167,DeKalb,Snapfinger Road N,2705,216,630,416,2,1264,1264,
168,DeKalb,Snapfinger Road S,1960,142,643,384,3,1172,1172,
169,DeKalb,Stephenson Middle,3822,276,1263,690,1,2230,2230,
170,DeKalb,South Hairston,3814,334,981,557,12,1884,1884,
171,DeKalb,Stephenson High,3555,244,1049,721,7,2021,2021,
172,DeKalb,Stonecrest Library,3720,194,1368,460,12,2034,2034,
173,DeKalb,Snapfinger Road,4872,198,1999,939,8,3144,3144,
174,DeKalb,Terry Mill,2808,197,865,530,6,1598,1598,
175,DeKalb,Toney Elem,1729,144,414,310,6,874,874,
176,DeKalb,Tucker Library,3506,156,1214,689,3,2062,2062,
177,DeKalb,Tilly Mill Road,1552,124,517,293,1,935,935,
178,DeKalb,Tucker,2932,130,932,569,5,1636,1636,
179,DeKalb,Valley Brook,1037,123,283,217,4,627,627,
180,DeKalb,Wadsworth,3159,257,785,577,9,1628,1628,
181,DeKalb,Wesley Chapel Library,2922,184,1002,616,7,1809,1809,
182,DeKalb,Woodrow Road,3493,227,965,422,11,1625,1625,
183,DeKalb,Winnona Park,2020,49,802,497,2,1350,1350,
184,DeKalb,Woodridge Elem,3851,304,924,678,9,1915,1915,
185,DeKalb,Warren Tech,1364,170,351,204,4,729,729,
186,DeKalb,Woodward,3193,172,947,747,2,1868,1868,
187,DeKalb,White Oak,2951,290,651,382,6,1329,1329,
188,DeKalb,Winters Chapel,1434,124,451,305,2,882,882,
189,DeKalb,Wynbrooke Elem,3496,262,1161,720,11,2154,2154,
190,DeKalb,Young Road,1951,97,704,376,7,1184,1184,
