index,County,Precinct,Registered Voters,Berryl A. Anderson (I) (Dem)_Election Day Votes,Berryl A. Anderson (I) (Dem)_Advanced Voting Votes,Berryl A. Anderson (I) (Dem)_Absentee by Mail Votes,Berryl A. Anderson (I) (Dem)_Provisional Votes,Berryl A. Anderson (I) (Dem)_Choice Total,Total,
0,DeKalb,Allgood Elem,2858,255,893,604,3,1755,1755,
1,DeKalb,Ashford Park Elem,2432,188,759,447,1,1395,1395,
2,DeKalb,Austin,2538,196,782,523,1,1502,1502,
3,DeKalb,Avondale,2906,294,985,760,1,2040,2040,
4,DeKalb,Austin Drive,2536,203,636,446,13,1298,1298,
5,DeKalb,Ashford Dunwoody Rd,2966,165,1068,589,5,1827,1827,
6,DeKalb,Ashford Parkside,3664,205,1049,814,6,2074,2074,
7,DeKalb,Avondale High,3151,128,1153,898,4,2183,2183,
8,DeKalb,Boulevard,4675,255,1865,1165,3,3288,3288,
9,DeKalb,Briar Vista Elem,2965,195,861,824,1,1881,1881,
10,DeKalb,Briarlake Elem,1752,131,536,447,1,1115,1115,
11,DeKalb,Briarwood,2428,172,795,460,3,1430,1430,
12,DeKalb,Brockett Elem,2752,176,846,564,6,1592,1592,
13,DeKalb,Briarcliff,3122,160,785,787,6,1738,1738,
14,DeKalb,Brockett,2681,236,775,529,6,1546,1546,
15,DeKalb,Brookhaven,3444,266,1201,647,2,2116,2116,
16,DeKalb,Browns Mill Elem,3829,310,1463,866,5,2644,2644,
17,DeKalb,Bouldercrest Road,2004,160,774,354,2,1290,1290,
18,DeKalb,Bethune Middle,4838,331,1366,958,16,2671,2671,
19,DeKalb,Burgess Elem,3493,195,1354,847,7,2403,2403,
20,DeKalb,Columbia Drive,2526,218,583,466,8,1275,1275,
21,DeKalb,Canby Lane Elem,2004,217,541,428,8,1194,1194,
22,DeKalb,Columbia Elem,1794,148,332,237,9,726,726,
23,DeKalb,Cedar Grove Elem,4097,307,1493,764,9,2573,2573,
24,DeKalb,Chamblee,2231,161,747,401,3,1312,1312,
25,DeKalb,Candler-Murphey Candler Elem,3712,296,1434,640,6,2376,2376,
