index,County,Precinct,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
0,Fulton,EP01A,2978,164,856,285,12,1317,42,189,88,2,321,1638,
1,Fulton,EP01B,3473,176,790,310,4,1280,54,231,169,5,459,1739,
2,Fulton,EP02A,2407,132,431,208,14,785,36,151,117,6,310,1095,
3,Fulton,EP02B,1679,81,595,267,1,944,20,122,57,0,199,1143,
4,Fulton,EP02C,522,16,182,61,0,259,6,30,15,0,51,310,
5,Fulton,EP02D,420,21,127,36,0,184,12,33,16,0,61,245,
6,Fulton,EP02E,1668,80,392,128,0,600,30,78,37,0,145,745,
7,Fulton,EP03A,4925,255,1196,535,7,1993,85,433,324,1,843,2836,
8,Fulton,EP03B,1547,58,459,251,3,771,24,176,103,2,305,1076,
9,Fulton,EP04A,5020,352,1051,476,16,1895,130,330,213,6,679,2574,
10,Fulton,EP04B,2624,111,877,217,2,1207,45,211,67,0,323,1530,
11,Fulton,EP04C,1318,0,299,30,2,331,0,108,12,2,122,453,
