County,Precinct,Registered Voters,Keith E. Gammage (I) (Dem)_Election Day Votes,Keith E. Gammage (I) (Dem)_Advanced Voting Votes,Keith E. Gammage (I) (Dem)_Absentee by Mail Votes,Keith E. Gammage (I) (Dem)_Provisional Votes,Keith E. Gammage (I) (Dem)_Choice Total,Total,
Fulton,06L1,991,38,368,217,2,625,625,
Fulton,06L2,726,26,258,126,1,411,411,
Fulton,06N,1770,77,504,273,10,864,864,
Fulton,06Q,571,49,212,61,5,327,327,
Fulton,06R,2015,57,679,355,2,1093,1093,
Fulton,07A,7691,477,2295,1190,18,3980,3980,
Fulton,07B,2952,130,884,548,0,1562,1562,
Fulton,07C,4512,207,1156,901,11,2275,2275,
Fulton,07D,4879,275,1541,594,18,2428,2428,
Fulton,07E,2247,68,745,527,5,1345,1345,
Fulton,07F,3790,185,1243,591,21,2040,2040,
Fulton,07H,2060,86,659,396,0,1141,1141,
Fulton,07J,3041,170,1034,481,11,1696,1696,
Fulton,07M,2401,141,649,368,0,1158,1158,
Fulton,07N,2139,134,649,349,9,1141,1141,
Fulton,08A,3084,182,1008,436,7,1633,1633,
Fulton,08B,3498,144,1185,526,0,1855,1855,
Fulton,08C,1500,57,452,228,0,737,737,
Fulton,08D,1073,23,334,174,14,545,545,
Fulton,08E,2568,91,769,472,0,1332,1332,
Fulton,08F1,2187,80,725,348,4,1157,1157,
Fulton,08G,3086,138,741,526,5,1410,1410,
Fulton,08H,2556,82,755,472,2,1311,1311,
Fulton,08J,3344,146,1276,423,6,1851,1851,
Fulton,08K,1049,73,383,205,0,661,661,
Fulton,08L,4505,220,1543,776,20,2559,2559,
Fulton,08M,2295,128,714,303,2,1147,1147,
Fulton,08N1,824,21,249,130,2,402,402,
Fulton,08N2,1616,64,494,307,2,867,867,
Fulton,08P,1887,119,635,214,5,973,973,
Fulton,09A,3856,191,1529,565,9,2294,2294,
Fulton,09B,464,28,77,66,0,171,171,
Fulton,09C,3353,262,860,457,22,1601,1601,
Fulton,09D,2299,221,428,283,8,940,940,
Fulton,09E,3261,267,945,315,1,1528,1528,
Fulton,09F,3917,163,1438,636,4,2241,2241,
Fulton,09G,3943,227,1502,613,9,2351,2351,
Fulton,09H,1185,78,411,148,1,638,638,
Fulton,09I,1397,135,249,170,2,556,556,
Fulton,09K,4002,269,857,459,11,1596,1596,
Fulton,09K1,1518,109,315,37,1,462,462,
Fulton,09M,2578,101,1192,338,0,1631,1631,
Fulton,10A,3186,229,935,512,14,1690,1690,
Fulton,10B,3965,233,1457,846,10,2546,2546,
Fulton,10C,2598,136,678,310,13,1137,1137,
Fulton,10D,4968,308,1124,530,144,2106,2106,
Fulton,10E,1084,95,294,179,3,571,571,
Fulton,10F,1208,115,299,194,13,621,621,
Fulton,10G,1332,95,495,227,3,820,820,
Fulton,10H1,439,30,150,74,13,267,267,
Fulton,10H2,2623,167,543,328,12,1050,1050,
Fulton,10I,331,13,151,90,0,254,254,
Fulton,10J,1238,138,183,129,12,462,462,
Fulton,10K,1614,108,549,297,5,959,959,
Fulton,10M,2880,240,838,401,12,1491,1491,
Fulton,10P,1607,149,332,227,3,711,711,
Fulton,10R,928,96,195,81,14,386,386,
Fulton,11B,4395,339,1315,812,33,2499,2499,
Fulton,11B1,894,71,284,28,5,388,388,
Fulton,11C,3149,161,1335,566,11,2073,2073,
Fulton,11E1,1340,116,390,163,16,685,685,
Fulton,11E2,1003,76,340,158,4,578,578,
Fulton,11E3,3605,269,1358,340,15,1982,1982,
Fulton,11G,2556,118,465,316,27,926,926,
Fulton,11H,753,51,183,136,7,377,377,
Fulton,11J,2092,182,511,308,22,1023,1023,
Fulton,11K,2045,141,605,370,12,1128,1128,
Fulton,11M,1380,98,563,339,6,1006,1006,
Fulton,11M1,2190,137,522,53,26,738,738,
Fulton,11N,2431,195,799,427,2,1423,1423,
Fulton,11P,2095,130,535,381,12,1058,1058,
Fulton,11R,2253,119,445,229,6,799,799,
Fulton,12A,4971,287,1610,720,20,2637,2637,
Fulton,12A1,690,41,299,20,8,368,368,
Fulton,12D,1408,103,349,133,2,587,587,
Fulton,12E1,1906,117,298,227,3,645,645,
Fulton,12F,1229,110,299,90,2,501,501,
Fulton,12G,885,57,179,178,1,415,415,
Fulton,12H1,1170,99,174,75,12,360,360,
Fulton,12H2,2998,274,692,384,5,1355,1355,
Fulton,12I,1079,55,226,143,41,465,465,
Fulton,12J,3154,258,697,324,29,1308,1308,
Fulton,12K,3620,205,946,339,10,1500,1500,
Fulton,12L,774,54,134,67,3,258,258,
Fulton,12M,2990,364,639,298,20,1321,1321,
Fulton,12N,1134,91,219,84,12,406,406,
Fulton,12S,2079,166,567,233,14,980,980,
Fulton,AP01A,5236,213,1796,909,3,2921,2921,
Fulton,AP01B,1281,56,390,179,6,631,631,
Fulton,AP01C,2409,97,851,386,7,1341,1341,
Fulton,AP01D,1015,50,298,162,0,510,510,
Fulton,AP021,3408,198,1136,411,3,1748,1748,
Fulton,AP022,2507,133,696,424,0,1253,1253,
Fulton,AP02B,677,22,155,147,5,329,329,
Fulton,AP03,775,84,211,65,5,365,365,
Fulton,AP04A,1760,83,558,290,8,939,939,
Fulton,AP04B,473,30,187,62,4,283,283,
Fulton,AP05,4776,211,1546,807,9,2573,2573,
Fulton,AP06,1967,85,655,283,10,1033,1033,
Fulton,AP07A,3910,199,1167,555,17,1938,1938,
Fulton,AP07B,1882,64,644,285,13,1006,1006,
Fulton,AP09A,4437,238,1471,733,6,2448,2448,
Fulton,AP09B,925,45,316,178,2,541,541,
Fulton,AP10,992,45,315,131,26,517,517,
Fulton,AP12A,746,55,230,96,15,396,396,
Fulton,AP12B,947,64,258,138,4,464,464,
Fulton,AP12C,2367,113,728,261,13,1115,1115,
Fulton,AP14,3232,116,1143,621,4,1884,1884,
Fulton,CH01,376,13,116,42,4,175,175,
Fulton,CH02,338,33,75,43,0,151,151,
Fulton,CH03,410,24,94,34,0,152,152,
Fulton,CH04A,825,37,265,100,0,402,402,
Fulton,CH05,429,28,77,44,0,149,149,
Fulton,CP011,1353,91,398,156,6,651,651,
Fulton,CP012,1469,81,527,203,5,816,816,
Fulton,CP01B,422,19,135,48,0,202,202,
Fulton,CP02,1208,74,356,160,1,591,591,
Fulton,CP04A,13,0,3,0,0,3,3,
Fulton,CP04B,38,2,7,9,0,18,18,
Fulton,CP051,1756,147,529,247,0,923,923,
Fulton,CP05B,153,20,37,8,4,69,69,
Fulton,CP06A,732,49,127,38,1,215,215,
Fulton,CP07B,7,2,2,0,0,4,4,
Fulton,CP07C,323,18,46,10,0,74,74,
Fulton,CP07D,790,64,125,38,0,227,227,
Fulton,CP07E,127,19,19,3,0,41,41,
Fulton,CP07F,266,22,34,6,0,62,62,
Fulton,CP081,373,34,53,15,5,107,107,
Fulton,CP083,240,11,19,3,0,33,33,
Fulton,CP084,1,0,0,0,0,0,0,
Fulton,CP08A,756,62,85,26,0,173,173,
Fulton,EP01A,2978,187,949,339,13,1488,1488,
Fulton,EP01B,3473,214,951,440,9,1614,1614,
Fulton,EP02A,2407,160,545,300,20,1025,1025,
Fulton,EP02B,1679,91,620,284,1,996,996,
Fulton,EP02C,522,16,190,65,0,271,271,
Fulton,EP02D,420,31,157,48,0,236,236,
Fulton,EP02E,1668,105,432,153,0,690,690,
Fulton,EP03A,4925,317,1551,806,6,2680,2680,
Fulton,EP03B,1547,77,595,336,6,1014,1014,
Fulton,EP04A,5020,467,1326,654,31,2478,2478,
Fulton,EP04B,2624,148,1067,269,8,1492,1492,
Fulton,EP04C,1318,0,399,39,4,442,442,
Fulton,FA01A,4032,240,1447,596,16,2299,2299,
Fulton,FA01B,5860,29,2287,849,8,3173,3173,
Fulton,FA01C,769,62,281,105,1,449,449,
Fulton,FA01D,321,17,124,8,15,164,164,
Fulton,FC01,325,21,130,25,2,178,178,
Fulton,FC02,585,13,27,8,2,50,50,
Fulton,FC03,17,1,8,0,6,15,15,
Fulton,HP01,3824,330,985,457,4,1776,1776,
Fulton,JC01,4128,221,1415,1027,7,2670,2670,
Fulton,JC01A,1738,131,551,120,5,807,807,
Fulton,JC02,3001,162,865,582,6,1615,1615,
Fulton,JC03A,594,26,251,72,1,350,350,
Fulton,JC03B,1616,110,563,283,0,956,956,
Fulton,JC04A,3177,95,1201,580,9,1885,1885,
Fulton,JC04B,334,9,107,52,0,168,168,
Fulton,JC04C,1251,43,475,252,0,770,770,
Fulton,JC05,2350,117,845,351,4,1317,1317,
Fulton,JC06,2840,188,752,457,4,1401,1401,
Fulton,JC07,4670,162,1530,895,23,2610,2610,
Fulton,JC08,2931,130,1053,496,4,1683,1683,
Fulton,JC09,3250,181,1094,545,3,1823,1823,
Fulton,JC10,2641,142,867,482,10,1501,1501,
Fulton,JC11,3497,206,1081,505,0,1792,1792,
Fulton,JC12,2832,73,805,458,5,1341,1341,
Fulton,JC13A,2317,85,711,321,1,1118,1118,
Fulton,JC13B,282,4,92,35,1,132,132,
Fulton,JC14,2608,93,919,383,2,1397,1397,
Fulton,JC15,959,52,346,138,0,536,536,
Fulton,JC16,2707,125,969,418,1,1513,1513,
Fulton,JC18,2857,100,987,440,3,1530,1530,
Fulton,JC19,4174,158,1400,696,13,2267,2267,
Fulton,ML01A,2795,140,1041,374,24,1579,1579,
Fulton,ML01B,708,32,219,91,0,342,342,
Fulton,ML02A,2580,166,677,325,2,1170,1170,
Fulton,ML02B,1914,100,564,243,1,908,908,
Fulton,ML03,3718,220,1103,498,5,1826,1826,
Fulton,ML03A,301,12,90,14,0,116,116,
Fulton,ML04,3322,163,1009,427,20,1619,1619,
Fulton,ML05,4843,256,1487,737,10,2490,2490,
Fulton,ML06A,2181,145,695,251,6,1097,1097,
Fulton,ML06B,3119,183,1029,494,4,1710,1710,
Fulton,ML07A,836,76,224,106,0,406,406,
Fulton,ML07B,1675,150,429,208,1,788,788,
Fulton,MP01,472,142,43,62,4,251,251,
Fulton,PA01,3006,205,936,355,15,1511,1511,
Fulton,RW01,5010,167,1541,974,10,2692,2692,
Fulton,RW02,4061,211,1277,743,9,2240,2240,
Fulton,RW03,5041,333,1423,735,10,2501,2501,
Fulton,RW04,1861,56,654,367,1,1078,1078,
Fulton,RW05,2910,230,805,394,10,1439,1439,
Fulton,RW06,3071,159,1056,465,7,1687,1687,
Fulton,RW07A,1773,216,450,158,2,826,826,
Fulton,RW07B,449,53,97,64,14,228,228,
Fulton,RW08,2429,126,593,419,6,1144,1144,
Fulton,RW09,4450,209,1280,922,3,2414,2414,
Fulton,RW09A,1892,98,571,100,2,771,771,
Fulton,RW10,3653,149,1169,637,9,1964,1964,
Fulton,RW11A,2865,186,793,492,7,1478,1478,
Fulton,RW12,3899,233,1231,912,4,2380,2380,
Fulton,RW12A,2458,135,746,129,3,1013,1013,
Fulton,RW13,3764,234,1322,535,6,2097,2097,
Fulton,RW16,2101,106,711,312,4,1133,1133,
Fulton,RW17,3100,230,995,431,4,1660,1660,
Fulton,RW19,2147,110,710,336,1,1157,1157,
Fulton,RW20,2701,80,1002,419,6,1507,1507,
Fulton,RW21,3362,123,1109,492,13,1737,1737,
Fulton,RW22A,4788,270,1638,580,11,2499,2499,
Fulton,SC01A,41,2,38,7,0,47,47,
Fulton,SC01B,2088,123,1121,296,13,1553,1553,
Fulton,SC01C,2249,86,1041,454,8,1589,1589,
Fulton,SC02,1426,42,713,253,3,1011,1011,
Fulton,SC04,1080,80,352,152,4,588,588,
Fulton,SC05A,721,56,319,83,5,463,463,
Fulton,SC05B,3646,184,1770,492,8,2454,2454,
Fulton,SC05D,2808,183,1295,351,1,1830,1830,
Fulton,SC05E,688,44,250,128,2,424,424,
Fulton,SC07A,4506,245,1864,1011,10,3130,3130,
Fulton,SC07C,41,1,9,3,0,13,13,
Fulton,SC07D,2038,133,857,88,4,1082,1082,
Fulton,SC08B,4096,273,1532,637,12,2454,2454,
Fulton,SC08C,91,6,44,17,0,67,67,
Fulton,SC08D,605,39,233,78,0,350,350,
Fulton,SC08E,724,59,298,62,4,423,423,
Fulton,SC08F,793,43,284,98,1,426,426,
Fulton,SC08G,14,0,3,0,0,3,3,
Fulton,SC08H,1,0,0,0,0,0,0,
Fulton,SC09A,1865,179,531,226,9,945,945,
Fulton,SC09B,1920,124,717,353,2,1196,1196,
Fulton,SC09C,1852,179,528,286,2,995,995,
Fulton,SC10,1912,155,415,185,9,764,764,
Fulton,SC11A,1656,146,528,263,22,959,959,
Fulton,SC11B,1691,112,539,310,6,967,967,
Fulton,SC13,2895,168,1345,416,6,1935,1935,
Fulton,SC14A,1030,68,321,97,0,486,486,
Fulton,SC15,4522,276,2001,805,4,3086,3086,
Fulton,SC15A,2482,133,1289,103,0,1525,1525,
Fulton,SC16A,5175,290,2449,853,0,3592,3592,
Fulton,SC17A,60,1,32,9,0,42,42,
Fulton,SC17B,10,0,1,0,3,4,4,
Fulton,SC17C,1293,74,492,180,0,746,746,
Fulton,SC18A,570,42,223,119,0,384,384,
Fulton,SC18B,915,40,462,155,0,657,657,
Fulton,SC18C,2100,78,1010,399,0,1487,1487,
Fulton,SC19A,213,6,84,45,1,136,136,
Fulton,SC19B,1628,134,423,212,8,777,777,
Fulton,SC20,2562,109,1473,355,26,1963,1963,
Fulton,SC211,1828,102,831,293,0,1226,1226,
Fulton,SC212,4244,262,1719,595,8,2584,2584,
Fulton,SC23A,3854,335,1119,641,10,2105,2105,
Fulton,SC23B,558,56,170,109,2,337,337,
Fulton,SC23C,2606,209,873,393,2,1477,1477,
Fulton,SC27,2361,147,725,463,0,1335,1335,
Fulton,SC29A,3154,272,943,540,9,1764,1764,
Fulton,SC30A,157,5,44,59,6,114,114,
Fulton,SC30B,1110,60,357,149,0,566,566,
Fulton,SS01,4846,152,1410,884,5,2451,2451,
Fulton,SS02A,1206,45,393,231,5,674,674,
Fulton,SS02B,1318,65,461,204,5,735,735,
Fulton,SS03,1577,84,564,261,2,911,911,
Fulton,SS04,3763,207,1253,623,16,2099,2099,
Fulton,SS05,1853,88,638,350,3,1079,1079,
Fulton,SS06,1667,58,537,305,49,949,949,
Fulton,SS07A,1254,36,381,238,0,655,655,
Fulton,SS07B,793,42,262,141,1,446,446,
Fulton,SS07C,809,21,163,163,14,361,361,
Fulton,SS08A,1891,140,656,237,11,1044,1044,
Fulton,SS08B,696,23,230,138,0,391,391,
Fulton,SS08C,716,32,228,139,0,399,399,
Fulton,SS08D,1555,81,498,236,0,815,815,
Fulton,SS09A,3193,136,877,649,0,1662,1662,
Fulton,SS09B,3611,109,1200,698,2,2009,2009,
Fulton,SS11A,4026,279,1243,580,11,2113,2113,
Fulton,SS11B,1412,100,430,195,1,726,726,
Fulton,SS11C,361,30,117,27,1,175,175,
Fulton,SS11D,397,15,134,77,0,226,226,
Fulton,SS12,2897,136,922,535,9,1602,1602,
Fulton,SS13A,2103,117,694,309,3,1123,1123,
Fulton,SS13B,1278,79,470,149,1,699,699,
Fulton,SS14,1412,60,483,237,1,781,781,
Fulton,SS15A,2756,248,828,272,5,1353,1353,
Fulton,SS15B,1730,165,527,198,2,892,892,
Fulton,SS16,2116,82,648,454,2,1186,1186,
Fulton,SS17,3686,225,1111,572,14,1922,1922,
Fulton,SS18A,657,26,220,123,0,369,369,
Fulton,SS18B,241,7,74,48,0,129,129,
Fulton,SS19A,3299,178,1112,400,10,1700,1700,
Fulton,SS19B,2342,120,857,324,84,1385,1385,
Fulton,SS20,2404,160,695,339,9,1203,1203,
Fulton,SS22,2834,149,680,429,3,1261,1261,
Fulton,SS26,3824,245,1264,383,16,1908,1908,
Fulton,SS29A,2842,149,947,476,6,1578,1578,
Fulton,SS31,1703,71,568,296,0,935,935,
Fulton,UC01A,4234,331,1226,339,11,1907,1907,
Fulton,UC01B,428,38,139,30,5,212,212,
Fulton,UC01D,6,0,0,0,0,0,0,
Fulton,UC01E,512,41,267,72,0,380,380,
Fulton,UC02A,5609,327,2184,1129,19,3659,3659,
Fulton,UC02B,32,2,11,3,0,16,16,
Fulton,UC02C,3614,150,1223,130,15,1518,1518,
Fulton,UC031,2745,160,656,441,26,1283,1283,
Fulton,UC032,393,20,135,75,1,231,231,
