race,sex,initParticipation,initRegistered,initVotes,runoffParticipation,runoffRegistered,runoffVotes,nVotesChange
(all),(all),6%,"6,349,810","401,484",1%,"6,337,500","77,551","-323,933"
(all),Male,5%,"2,896,267","155,894",1%,"2,889,741","29,159","-126,735"
(all),Female,7%,"3,453,543","245,590",1%,"3,447,759","48,392","-197,198"
Asia-pi,(all),1%,"107,450","1,506",0%,"107,454",217,"-1,289"
Asia-pi,Unknown,1%,180,2,0%,179,1,-1
Asia-pi,Male,1%,"51,076",708,0%,"51,071",101,-607
Asia-pi,Female,1%,"56,374",798,0%,"56,383",116,-682
Black,(all),13%,"1,901,633","247,983",2%,"1,898,386","54,097","-193,886"
Black,Unknown,5%,934,53,0%,932,7,-46
Black,Male,10%,"793,981","87,064",2%,"792,027","18,533","-68,531"
Black,Female,14%,"1,107,652","160,919",3%,"1,106,359","35,564","-125,355"
Hisp-lt,Unknown,1%,219,4,0%,220,0,-4
Hisp-lt,Male,1%,"64,658","1,100",0%,"64,628",117,-983
Hisp-lt,Female,1%,"77,564","1,411",0%,"77,540",138,"-1,273"
Hisp-lt,(all),1%,"142,222","2,511",0%,"142,168",255,"-2,256"
Native-am,Female,2%,"2,304",47,0%,"2,303",9,-38
Native-am,Unknown,0%,7,0,0%,6,0,0
Native-am,Male,2%,"1,995",58,0%,"2,001",11,-47
Native-am,(all),2%,"4,299",105,0%,"4,304",20,-85
Other,Unknown,0%,136,0,0%,141,0,0
Other,Male,2%,"32,805",848,0%,"32,777",164,-684
Other,Female,3%,"41,193","1,376",0%,"41,199",260,"-1,116"
Other,(all),3%,"73,998","2,224",0%,"73,976",424,"-1,800"
Unknown,Male,2%,"264,239","6,372",0%,"263,079","1,545","-4,827"
Unknown,Female,3%,"265,955","9,224",0%,"264,619","2,411","-6,813"
Unknown,(all),2%,"530,194","15,596",0%,"527,698","3,956","-11,640"
Unknown,Unknown,2%,"2,428",61,0%,"2,412",10,-51
White,(all),3%,"3,590,014","131,559",0%,"3,583,514","18,582","-112,977"
White,Male,3%,"1,687,513","59,744",0%,"1,684,158","8,688","-51,056"
White,Female,3%,"1,902,501","71,815",0%,"1,899,356","9,894","-61,921"
White,Unknown,0%,"1,453",14,0%,"1,449",4,-10
