index,County,Precinct,Registered Voters,Marjorie Taylor Greene (Rep)_Election Day Votes,Marjorie Taylor Greene (Rep)_Advanced Voting Votes,Marjorie Taylor Greene (Rep)_Absentee by Mail Votes,Marjorie Taylor Greene (Rep)_Provisional Votes,Marjorie Taylor Greene (Rep)_Choice Total,Kevin Van Ausdal (Dem)_Election Day Votes,Kevin Van Ausdal (Dem)_Advanced Voting Votes,Kevin Van Ausdal (Dem)_Absentee by Mail Votes,Kevin Van Ausdal (Dem)_Provisional Votes,Kevin Van Ausdal (Dem)_Choice Total,Total,
0,Chattooga,Coldwater,248,25,80,14,0,119,10,27,24,0,61,180,
1,Chattooga,Dirtseller,186,44,57,5,0,106,4,10,5,0,19,125,
2,Chattooga,Haywood,169,70,23,3,0,96,12,1,5,1,19,115,
3,Chattooga,Lyerly,934,208,257,50,1,516,39,47,24,0,110,626,
4,Chattooga,Trion,3496,561,1116,244,1,1922,74,172,119,0,365,2287,
5,Chattooga,Summerville,5155,524,1572,393,1,2490,155,428,275,1,859,3349,
6,Chattooga,Teloga,593,88,246,63,0,397,5,19,23,0,47,444,
7,Chattooga,Dirttown,897,248,257,70,0,575,33,44,40,0,117,692,
8,Chattooga,Seminole,138,34,41,17,0,92,3,6,2,0,11,103,
9,Chattooga,Subligna,489,166,122,49,1,338,11,12,17,0,40,378,
10,Chattooga,Alpine,872,255,207,64,0,526,29,38,31,0,98,624,
11,Chattooga,Cloudland,378,73,102,31,0,206,8,37,30,0,75,281,
12,Chattooga,Pennville,588,64,189,37,0,290,9,30,12,0,51,341,
