County,Precinct,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total Votes
Turner,Ashburn,3509.0,135.0,779.0,131.0,0.0,1045.0,279.0,639.0,227.0,1.0,1146.0,14.0,24.0,7.0,0.0,45.0,2236.0
Turner,Sycamore,1609.0,119.0,807.0,79.0,1.0,1006.0,31.0,99.0,26.0,0.0,156.0,1.0,9.0,0.0,0.0,10.0,1172.0
Turner,Rebecca,464.0,112.0,147.0,24.0,0.0,283.0,12.0,15.0,16.0,0.0,43.0,5.0,1.0,1.0,0.0,7.0,333.0
Floyd,Alto Park,3360.0,321.0,981.0,294.0,10.0,1606.0,88.0,251.0,224.0,0.0,563.0,13.0,34.0,19.0,0.0,66.0,2235.0
Floyd,Armuchee,1269.0,277.0,350.0,107.0,1.0,735.0,34.0,64.0,38.0,0.0,136.0,6.0,6.0,9.0,0.0,21.0,892.0
Floyd,Barkers,2355.0,390.0,764.0,178.0,8.0,1340.0,41.0,96.0,81.0,0.0,218.0,10.0,16.0,7.0,0.0,33.0,1591.0
Floyd,Cave Spring,1617.0,409.0,296.0,125.0,5.0,835.0,67.0,48.0,102.0,1.0,218.0,18.0,9.0,4.0,0.0,31.0,1084.0
Floyd,Chulio,1155.0,274.0,286.0,91.0,18.0,669.0,33.0,39.0,54.0,1.0,127.0,9.0,4.0,5.0,0.0,18.0,814.0
Floyd,Etowah,4946.0,579.0,1582.0,414.0,6.0,2581.0,100.0,294.0,290.0,2.0,686.0,23.0,23.0,17.0,0.0,63.0,3330.0
Floyd,Everett Springs,421.0,175.0,63.0,22.0,4.0,264.0,24.0,9.0,20.0,0.0,53.0,2.0,1.0,3.0,0.0,6.0,323.0
Floyd,Floyd Springs,1666.0,406.0,539.0,139.0,38.0,1122.0,30.0,56.0,46.0,4.0,136.0,14.0,8.0,3.0,0.0,25.0,1283.0
Floyd,Fosters Mill,971.0,272.0,256.0,62.0,2.0,592.0,20.0,26.0,30.0,0.0,76.0,10.0,4.0,5.0,0.0,19.0,687.0
Floyd,Garden Lakes,2261.0,203.0,571.0,185.0,0.0,959.0,86.0,218.0,120.0,0.0,424.0,12.0,20.0,7.0,0.0,39.0,1422.0
Floyd,Glenwood,3635.0,503.0,946.0,242.0,2.0,1693.0,109.0,208.0,185.0,2.0,504.0,21.0,30.0,20.0,0.0,71.0,2268.0
Floyd,Howell,1492.0,425.0,371.0,118.0,11.0,925.0,30.0,49.0,27.0,0.0,106.0,3.0,8.0,3.0,0.0,14.0,1045.0
Floyd,East Lindale,3398.0,427.0,910.0,259.0,1.0,1597.0,95.0,220.0,170.0,0.0,485.0,23.0,23.0,14.0,0.0,60.0,2142.0
Floyd,Mt Alto North,5096.0,225.0,1122.0,312.0,0.0,1659.0,247.0,664.0,398.0,5.0,1314.0,29.0,43.0,20.0,0.0,92.0,3065.0
Floyd,Mt Alto South,3923.0,294.0,818.0,239.0,6.0,1357.0,246.0,473.0,297.0,2.0,1018.0,16.0,28.0,16.0,0.0,60.0,2435.0
Floyd,North Carolina,1865.0,265.0,517.0,123.0,3.0,908.0,39.0,93.0,59.0,4.0,195.0,11.0,19.0,8.0,0.0,38.0,1141.0
Floyd,Riverside,826.0,146.0,192.0,46.0,4.0,388.0,45.0,58.0,29.0,0.0,132.0,5.0,6.0,1.0,0.0,12.0,532.0
Floyd,East Rome,4238.0,265.0,679.0,253.0,4.0,1201.0,182.0,543.0,360.0,2.0,1087.0,16.0,31.0,16.0,0.0,63.0,2351.0
Floyd,North Rome,3369.0,138.0,528.0,285.0,4.0,955.0,159.0,336.0,387.0,3.0,885.0,16.0,24.0,15.0,0.0,55.0,1895.0
Floyd,South Rome,1600.0,46.0,98.0,43.0,1.0,188.0,139.0,202.0,186.0,1.0,528.0,15.0,8.0,11.0,0.0,34.0,750.0
Floyd,Texas Valley,762.0,263.0,193.0,59.0,16.0,531.0,15.0,28.0,31.0,0.0,74.0,4.0,3.0,2.0,0.0,9.0,614.0
Floyd,Vanns Valley,896.0,139.0,171.0,84.0,2.0,396.0,32.0,47.0,19.0,0.0,98.0,9.0,2.0,2.0,0.0,13.0,507.0
Floyd,Watters,3566.0,642.0,1011.0,265.0,14.0,1932.0,77.0,150.0,116.0,6.0,349.0,26.0,24.0,14.0,0.0,64.0,2345.0
Floyd,West Lindale,2929.0,460.0,694.0,190.0,0.0,1344.0,95.0,138.0,128.0,0.0,361.0,23.0,17.0,11.0,0.0,51.0,1756.0
Floyd,Town Rome,3034.0,174.0,570.0,205.0,0.0,949.0,126.0,311.0,272.0,2.0,711.0,16.0,23.0,12.0,0.0,51.0,1711.0
Gilmer,Ellijay South,3172.0,360.0,1074.0,288.0,2.0,1724.0,55.0,199.0,221.0,0.0,475.0,8.0,20.0,16.0,0.0,44.0,2243.0
Gilmer,Cartecay,1598.0,400.0,467.0,173.0,2.0,1042.0,19.0,59.0,75.0,0.0,153.0,10.0,10.0,5.0,0.0,25.0,1220.0
Gilmer,Tails Creek,1782.0,432.0,443.0,125.0,0.0,1000.0,46.0,66.0,45.0,0.0,157.0,19.0,13.0,6.0,0.0,38.0,1195.0
Gilmer,Town Creek,1234.0,291.0,326.0,86.0,0.0,703.0,41.0,27.0,49.0,0.0,117.0,12.0,6.0,6.0,0.0,24.0,844.0
Gilmer,Leaches,2939.0,515.0,892.0,293.0,2.0,1702.0,52.0,176.0,144.0,1.0,373.0,25.0,20.0,11.0,0.0,56.0,2131.0
Gilmer,Cherry Log,926.0,246.0,209.0,104.0,0.0,559.0,39.0,62.0,55.0,0.0,156.0,11.0,3.0,1.0,0.0,15.0,730.0
Gilmer,Boardtown,1391.0,288.0,480.0,164.0,3.0,935.0,33.0,66.0,99.0,0.0,198.0,10.0,6.0,10.0,1.0,27.0,1160.0
Gilmer,Mountaintown,1139.0,258.0,337.0,105.0,1.0,701.0,31.0,64.0,41.0,0.0,136.0,6.0,7.0,8.0,0.0,21.0,858.0
Gilmer,East Ellijay,1655.0,235.0,596.0,194.0,0.0,1025.0,32.0,101.0,60.0,0.0,193.0,7.0,11.0,2.0,0.0,20.0,1238.0
Gilmer,Ellijay North,1810.0,287.0,567.0,171.0,1.0,1026.0,23.0,103.0,68.0,0.0,194.0,7.0,23.0,7.0,0.0,37.0,1257.0
Gilmer,Yukon,1288.0,354.0,341.0,104.0,0.0,799.0,24.0,44.0,57.0,0.0,125.0,8.0,7.0,5.0,0.0,20.0,944.0
Gilmer,Big Creek,1479.0,360.0,389.0,148.0,0.0,897.0,28.0,63.0,98.0,0.0,189.0,12.0,12.0,9.0,0.0,33.0,1119.0
Gilmer,Ellijay Northeast,1851.0,245.0,666.0,182.0,0.0,1093.0,12.0,121.0,116.0,0.0,249.0,5.0,13.0,8.0,0.0,26.0,1368.0
Jones,Gray,0.0,249.0,1104.0,209.0,0.0,1562.0,45.0,276.0,161.0,0.0,482.0,9.0,19.0,10.0,0.0,38.0,2082.0
Jones,Hawkins,0.0,245.0,509.0,124.0,0.0,878.0,190.0,650.0,484.0,0.0,1324.0,16.0,21.0,10.0,0.0,47.0,2249.0
Jones,Ethridge,0.0,175.0,528.0,110.0,0.0,813.0,72.0,210.0,135.0,0.0,417.0,7.0,12.0,4.0,0.0,23.0,1253.0
Jones,Clinton,0.0,276.0,836.0,173.0,2.0,1287.0,68.0,240.0,150.0,0.0,458.0,9.0,17.0,5.0,0.0,31.0,1776.0
Jones,Roberts,0.0,435.0,562.0,170.0,0.0,1167.0,133.0,284.0,173.0,1.0,591.0,13.0,18.0,13.0,0.0,44.0,1802.0
Jones,Davidson,0.0,351.0,477.0,100.0,1.0,929.0,43.0,88.0,57.0,0.0,188.0,12.0,13.0,1.0,0.0,26.0,1143.0
Jones,Pope,0.0,303.0,508.0,99.0,0.0,910.0,110.0,186.0,126.0,1.0,423.0,15.0,11.0,4.0,0.0,30.0,1363.0
Jones,Barron,0.0,266.0,377.0,93.0,0.0,736.0,70.0,110.0,90.0,0.0,270.0,5.0,2.0,5.0,0.0,12.0,1018.0
Jones,Sanders,0.0,89.0,12.0,10.0,0.0,111.0,18.0,5.0,7.0,0.0,30.0,3.0,1.0,1.0,0.0,5.0,146.0
Jones,Finney,0.0,565.0,696.0,199.0,1.0,1461.0,86.0,233.0,185.0,0.0,504.0,20.0,19.0,6.0,0.0,45.0,2010.0
Pike,Concord,0.0,283.0,528.0,75.0,0.0,886.0,59.0,95.0,83.0,0.0,237.0,3.0,3.0,3.0,0.0,9.0,1132.0
Pike,Hollonville,0.0,345.0,793.0,121.0,0.0,1259.0,13.0,49.0,45.0,0.0,107.0,7.0,6.0,3.0,0.0,16.0,1382.0
Pike,Meansville,0.0,272.0,544.0,78.0,0.0,894.0,33.0,53.0,22.0,0.0,108.0,7.0,8.0,1.0,0.0,16.0,1018.0
Pike,Molena,0.0,341.0,528.0,96.0,0.0,965.0,53.0,73.0,45.0,0.0,171.0,10.0,9.0,6.0,0.0,25.0,1161.0
Pike,Second District,0.0,366.0,1226.0,194.0,0.0,1786.0,37.0,109.0,72.0,0.0,218.0,11.0,20.0,4.0,0.0,35.0,2039.0
Pike,Lifsey Springs,0.0,205.0,471.0,87.0,0.0,763.0,18.0,40.0,41.0,0.0,99.0,6.0,8.0,3.0,0.0,17.0,879.0
Pike,Williamson,0.0,289.0,834.0,109.0,0.0,1232.0,31.0,74.0,49.0,0.0,154.0,6.0,10.0,5.0,0.0,21.0,1407.0
Pike,Zebulon,0.0,217.0,910.0,133.0,0.0,1260.0,28.0,184.0,124.0,0.0,336.0,10.0,15.0,10.0,0.0,35.0,1631.0
Wayne,Odum,1260.0,301.0,499.0,82.0,0.0,882.0,16.0,41.0,33.0,0.0,90.0,5.0,5.0,6.0,0.0,16.0,988.0
Wayne,Madray Springs,1176.0,174.0,525.0,117.0,0.0,816.0,12.0,33.0,30.0,1.0,76.0,3.0,7.0,5.0,0.0,15.0,907.0
Wayne,Oglethorpe,1741.0,224.0,709.0,144.0,0.0,1077.0,30.0,90.0,48.0,0.0,168.0,2.0,10.0,2.0,0.0,14.0,1259.0
Wayne,Screven,1849.0,459.0,593.0,122.0,2.0,1176.0,51.0,83.0,43.0,0.0,177.0,7.0,6.0,6.0,0.0,19.0,1372.0
Wayne,Empire,1106.0,180.0,505.0,86.0,0.0,771.0,16.0,37.0,21.0,0.0,74.0,4.0,13.0,4.0,0.0,21.0,866.0
Wayne,Red Hill,1036.0,125.0,341.0,77.0,0.0,543.0,20.0,72.0,36.0,0.0,128.0,10.0,7.0,1.0,0.0,18.0,689.0
Wayne,Altamaha,2857.0,221.0,957.0,162.0,2.0,1342.0,68.0,237.0,104.0,0.0,409.0,7.0,14.0,2.0,0.0,23.0,1774.0
Wayne,Gardi,1123.0,281.0,333.0,102.0,2.0,718.0,21.0,28.0,30.0,0.0,79.0,5.0,6.0,5.0,0.0,16.0,813.0
Wayne,VFW,1145.0,26.0,96.0,30.0,0.0,152.0,72.0,282.0,127.0,1.0,482.0,3.0,11.0,4.0,0.0,18.0,652.0
Wayne,Pine Street,1140.0,61.0,266.0,70.0,0.0,397.0,66.0,196.0,60.0,0.0,322.0,3.0,6.0,5.0,0.0,14.0,733.0
Wayne,Unity,1905.0,172.0,597.0,163.0,0.0,932.0,59.0,204.0,101.0,0.0,364.0,9.0,15.0,9.0,0.0,33.0,1329.0
Wayne,Rec Center,1766.0,202.0,601.0,125.0,0.0,928.0,35.0,179.0,72.0,0.0,286.0,11.0,20.0,6.0,0.0,37.0,1251.0
Fulton,01A,3694.0,45.0,154.0,67.0,5.0,271.0,157.0,1638.0,709.0,20.0,2524.0,7.0,27.0,20.0,1.0,55.0,2850.0
Fulton,01B,4327.0,75.0,177.0,76.0,1.0,329.0,233.0,1811.0,854.0,5.0,2903.0,22.0,33.0,18.0,0.0,73.0,3305.0
Fulton,01C,1908.0,20.0,17.0,6.0,0.0,43.0,175.0,368.0,156.0,0.0,699.0,9.0,11.0,6.0,0.0,26.0,768.0
Fulton,01D,754.0,8.0,18.0,13.0,1.0,40.0,22.0,276.0,118.0,6.0,422.0,1.0,4.0,0.0,1.0,6.0,468.0
Fulton,01E,3720.0,36.0,189.0,91.0,1.0,317.0,103.0,1528.0,738.0,0.0,2369.0,7.0,26.0,11.0,0.0,44.0,2730.0
Fulton,01F,1593.0,4.0,13.0,5.0,1.0,23.0,119.0,254.0,100.0,5.0,478.0,4.0,6.0,6.0,2.0,18.0,519.0
Fulton,01G,2312.0,14.0,53.0,16.0,1.0,84.0,129.0,724.0,280.0,3.0,1136.0,2.0,21.0,7.0,1.0,31.0,1251.0
Fulton,01H,896.0,3.0,7.0,8.0,0.0,18.0,62.0,206.0,113.0,6.0,387.0,6.0,6.0,3.0,0.0,15.0,420.0
Fulton,01I,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Fulton,01J,2848.0,22.0,44.0,15.0,2.0,83.0,214.0,701.0,308.0,15.0,1238.0,5.0,27.0,10.0,0.0,42.0,1363.0
Fulton,01P,1444.0,10.0,5.0,6.0,2.0,23.0,207.0,222.0,161.0,3.0,593.0,7.0,1.0,3.0,0.0,11.0,627.0
Fulton,01R,1550.0,15.0,8.0,8.0,2.0,33.0,198.0,135.0,114.0,12.0,459.0,10.0,4.0,4.0,1.0,19.0,511.0
Fulton,01S,2118.0,17.0,25.0,12.0,0.0,54.0,232.0,473.0,200.0,8.0,913.0,7.0,8.0,4.0,0.0,19.0,986.0
Fulton,01T,1799.0,29.0,27.0,19.0,1.0,76.0,154.0,465.0,172.0,3.0,794.0,8.0,6.0,5.0,0.0,19.0,889.0
Fulton,02A,4884.0,103.0,466.0,216.0,7.0,792.0,120.0,1671.0,1001.0,18.0,2810.0,13.0,33.0,19.0,1.0,66.0,3668.0
Fulton,02A1,733.0,17.0,74.0,8.0,2.0,101.0,22.0,262.0,47.0,2.0,333.0,4.0,8.0,5.0,0.0,17.0,451.0
Fulton,02B,4020.0,35.0,95.0,27.0,7.0,164.0,170.0,750.0,274.0,24.0,1218.0,6.0,26.0,11.0,0.0,43.0,1425.0
Fulton,02C,2034.0,26.0,72.0,27.0,10.0,135.0,70.0,673.0,367.0,28.0,1138.0,5.0,20.0,12.0,0.0,37.0,1310.0
Fulton,02D,5539.0,89.0,332.0,120.0,12.0,553.0,219.0,1804.0,1007.0,23.0,3053.0,17.0,35.0,25.0,2.0,79.0,3685.0
Fulton,02E,2009.0,37.0,90.0,47.0,0.0,174.0,96.0,870.0,455.0,0.0,1421.0,3.0,13.0,4.0,0.0,20.0,1615.0
Fulton,02F1,3221.0,46.0,193.0,89.0,3.0,331.0,88.0,1216.0,693.0,4.0,2001.0,7.0,27.0,21.0,0.0,55.0,2387.0
Fulton,02F2,851.0,17.0,38.0,14.0,3.0,72.0,39.0,246.0,134.0,2.0,421.0,3.0,5.0,1.0,0.0,9.0,502.0
Fulton,02G,3895.0,78.0,237.0,91.0,2.0,408.0,162.0,1555.0,706.0,3.0,2426.0,14.0,34.0,18.0,0.0,66.0,2900.0
Fulton,02J,2273.0,33.0,103.0,61.0,2.0,199.0,87.0,868.0,414.0,10.0,1379.0,7.0,21.0,9.0,0.0,37.0,1615.0
Fulton,02K,1461.0,29.0,92.0,24.0,0.0,145.0,35.0,569.0,283.0,0.0,887.0,5.0,21.0,6.0,0.0,32.0,1064.0
Fulton,02L1,5546.0,101.0,416.0,223.0,6.0,746.0,166.0,1933.0,1200.0,9.0,3308.0,8.0,40.0,32.0,0.0,80.0,4134.0
Fulton,02L1A,1477.0,27.0,84.0,16.0,2.0,129.0,69.0,542.0,87.0,6.0,704.0,3.0,7.0,1.0,0.0,11.0,844.0
Fulton,02L2,2249.0,45.0,164.0,58.0,2.0,269.0,102.0,793.0,343.0,4.0,1242.0,4.0,13.0,4.0,0.0,21.0,1532.0
Fulton,02S,790.0,12.0,16.0,13.0,0.0,41.0,37.0,284.0,122.0,0.0,443.0,5.0,2.0,4.0,0.0,11.0,495.0
Fulton,02W,978.0,21.0,58.0,22.0,0.0,101.0,46.0,374.0,118.0,0.0,538.0,3.0,7.0,6.0,0.0,16.0,655.0
Fulton,03A,2230.0,10.0,18.0,9.0,1.0,38.0,137.0,381.0,216.0,21.0,755.0,8.0,8.0,1.0,0.0,17.0,810.0
Fulton,03B,777.0,5.0,7.0,5.0,0.0,17.0,52.0,92.0,51.0,0.0,195.0,5.0,6.0,6.0,0.0,17.0,229.0
Fulton,03C,1879.0,10.0,7.0,10.0,0.0,27.0,145.0,337.0,216.0,6.0,704.0,5.0,14.0,4.0,1.0,24.0,755.0
Fulton,03D,1235.0,11.0,8.0,9.0,1.0,29.0,77.0,215.0,99.0,20.0,411.0,7.0,6.0,4.0,1.0,18.0,458.0
Fulton,03E,2894.0,20.0,24.0,5.0,5.0,54.0,289.0,477.0,205.0,36.0,1007.0,8.0,13.0,6.0,3.0,30.0,1091.0
Fulton,03F,2328.0,45.0,161.0,47.0,1.0,254.0,109.0,754.0,342.0,3.0,1208.0,7.0,23.0,6.0,0.0,36.0,1498.0
Fulton,03G,1033.0,5.0,4.0,2.0,0.0,11.0,76.0,146.0,41.0,4.0,267.0,6.0,3.0,2.0,0.0,11.0,289.0
Fulton,03H,1091.0,9.0,7.0,2.0,0.0,18.0,81.0,212.0,91.0,1.0,385.0,5.0,9.0,1.0,0.0,15.0,418.0
Fulton,03I,1607.0,17.0,61.0,16.0,5.0,99.0,96.0,319.0,110.0,20.0,545.0,9.0,2.0,3.0,0.0,14.0,658.0
Fulton,03L,748.0,5.0,4.0,3.0,0.0,12.0,70.0,96.0,38.0,0.0,204.0,1.0,2.0,3.0,0.0,6.0,222.0
Fulton,03M,965.0,56.0,42.0,3.0,0.0,101.0,126.0,222.0,86.0,1.0,435.0,10.0,8.0,0.0,1.0,19.0,555.0
Fulton,03N,2804.0,14.0,24.0,7.0,3.0,48.0,221.0,454.0,152.0,21.0,848.0,11.0,14.0,2.0,1.0,28.0,924.0
Fulton,03P1A,4404.0,67.0,189.0,70.0,2.0,328.0,232.0,1317.0,502.0,13.0,2064.0,17.0,33.0,10.0,0.0,60.0,2452.0
Fulton,03P2,23.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0
Fulton,03S,908.0,5.0,3.0,5.0,0.0,13.0,95.0,204.0,103.0,0.0,402.0,6.0,4.0,0.0,0.0,10.0,425.0
Fulton,03T,1742.0,15.0,25.0,4.0,0.0,44.0,139.0,485.0,126.0,5.0,755.0,7.0,17.0,5.0,0.0,29.0,828.0
Fulton,04A,1554.0,5.0,11.0,6.0,0.0,22.0,99.0,315.0,158.0,0.0,572.0,3.0,8.0,3.0,0.0,14.0,608.0
Fulton,04B,2948.0,11.0,16.0,7.0,0.0,34.0,115.0,414.0,207.0,0.0,736.0,5.0,8.0,4.0,0.0,17.0,787.0
Fulton,04C,150.0,0.0,0.0,0.0,0.0,0.0,11.0,28.0,12.0,1.0,52.0,0.0,0.0,0.0,0.0,0.0,52.0
Fulton,04D,1736.0,11.0,24.0,8.0,0.0,43.0,150.0,440.0,188.0,5.0,783.0,9.0,11.0,2.0,0.0,22.0,848.0
Fulton,04F,2786.0,31.0,71.0,16.0,1.0,119.0,172.0,742.0,190.0,9.0,1113.0,9.0,16.0,4.0,0.0,29.0,1261.0
Fulton,04G,1025.0,2.0,6.0,2.0,0.0,10.0,114.0,188.0,78.0,1.0,381.0,6.0,7.0,2.0,0.0,15.0,406.0
Fulton,04I,4604.0,16.0,34.0,21.0,0.0,71.0,71.0,447.0,222.0,5.0,745.0,3.0,15.0,3.0,1.0,22.0,838.0
Fulton,04J,1617.0,3.0,4.0,2.0,1.0,10.0,42.0,108.0,15.0,9.0,174.0,4.0,1.0,1.0,1.0,7.0,191.0
Fulton,04K,2736.0,11.0,24.0,10.0,0.0,45.0,192.0,711.0,338.0,13.0,1254.0,6.0,14.0,9.0,0.0,29.0,1328.0
Fulton,04L,2014.0,16.0,18.0,15.0,0.0,49.0,155.0,551.0,190.0,6.0,902.0,11.0,16.0,3.0,0.0,30.0,981.0
Fulton,04M,979.0,5.0,5.0,3.0,0.0,13.0,101.0,145.0,66.0,4.0,316.0,1.0,10.0,3.0,1.0,15.0,344.0
Fulton,04S,2541.0,22.0,21.0,12.0,1.0,56.0,256.0,605.0,293.0,6.0,1160.0,4.0,15.0,5.0,2.0,26.0,1242.0
Fulton,04T,1297.0,4.0,15.0,3.0,1.0,23.0,130.0,337.0,157.0,21.0,645.0,7.0,7.0,4.0,0.0,18.0,686.0
Fulton,04V,3573.0,20.0,19.0,10.0,1.0,50.0,357.0,685.0,222.0,2.0,1266.0,16.0,24.0,3.0,1.0,44.0,1360.0
Fulton,04W,3365.0,0.0,1.0,1.0,1.0,3.0,57.0,131.0,27.0,6.0,221.0,1.0,2.0,0.0,0.0,3.0,227.0
Fulton,04X1,2283.0,13.0,30.0,11.0,0.0,54.0,153.0,595.0,265.0,2.0,1015.0,8.0,14.0,4.0,0.0,26.0,1095.0
Fulton,04X2,846.0,4.0,16.0,3.0,0.0,23.0,58.0,228.0,95.0,0.0,381.0,1.0,10.0,3.0,0.0,14.0,418.0
Fulton,05A1,2936.0,42.0,139.0,47.0,0.0,228.0,104.0,1223.0,609.0,2.0,1938.0,13.0,22.0,15.0,0.0,50.0,2216.0
Fulton,05A2,3343.0,38.0,154.0,51.0,4.0,247.0,126.0,1396.0,593.0,8.0,2123.0,8.0,26.0,11.0,1.0,46.0,2416.0
Fulton,05B,2171.0,14.0,34.0,18.0,1.0,67.0,167.0,605.0,248.0,2.0,1022.0,7.0,9.0,4.0,0.0,20.0,1109.0
Fulton,05C,135.0,0.0,3.0,2.0,0.0,5.0,7.0,26.0,7.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,45.0
Fulton,05D,541.0,2.0,1.0,1.0,0.0,4.0,21.0,58.0,7.0,2.0,88.0,0.0,1.0,0.0,0.0,1.0,93.0
Fulton,05F,248.0,3.0,8.0,1.0,0.0,12.0,19.0,82.0,22.0,1.0,124.0,3.0,2.0,0.0,0.0,5.0,141.0
Fulton,05J,684.0,8.0,26.0,16.0,0.0,50.0,37.0,263.0,119.0,1.0,420.0,0.0,8.0,2.0,0.0,10.0,480.0
Fulton,05K,2826.0,22.0,66.0,23.0,2.0,113.0,136.0,678.0,255.0,3.0,1072.0,6.0,30.0,9.0,0.0,45.0,1230.0
Fulton,06B,1889.0,58.0,158.0,54.0,2.0,272.0,54.0,729.0,379.0,6.0,1168.0,6.0,10.0,5.0,0.0,21.0,1461.0
Fulton,06D,6160.0,121.0,540.0,408.0,4.0,1073.0,265.0,1981.0,1916.0,12.0,4174.0,11.0,39.0,32.0,0.0,82.0,5329.0
Fulton,06D1,2539.0,56.0,250.0,55.0,1.0,362.0,48.0,910.0,154.0,3.0,1115.0,5.0,12.0,4.0,0.0,21.0,1498.0
Fulton,06D2,850.0,18.0,99.0,17.0,1.0,135.0,14.0,295.0,46.0,0.0,355.0,2.0,3.0,5.0,0.0,10.0,500.0
Fulton,06E,2344.0,58.0,184.0,83.0,4.0,329.0,90.0,778.0,378.0,2.0,1248.0,4.0,21.0,14.0,0.0,39.0,1616.0
Fulton,06F,2841.0,50.0,245.0,83.0,4.0,382.0,92.0,1043.0,486.0,3.0,1624.0,6.0,36.0,8.0,0.0,50.0,2056.0
Fulton,06G,588.0,14.0,46.0,20.0,1.0,81.0,10.0,208.0,115.0,0.0,333.0,2.0,7.0,2.0,0.0,11.0,425.0
Fulton,06I,4072.0,93.0,199.0,57.0,6.0,355.0,242.0,1318.0,513.0,14.0,2087.0,19.0,29.0,12.0,3.0,63.0,2505.0
Fulton,06J,2770.0,59.0,242.0,121.0,1.0,423.0,60.0,982.0,723.0,0.0,1765.0,9.0,23.0,18.0,0.0,50.0,2238.0
Fulton,06L1,991.0,30.0,127.0,58.0,0.0,215.0,25.0,334.0,217.0,2.0,578.0,1.0,6.0,2.0,0.0,9.0,802.0
Fulton,06L2,726.0,33.0,115.0,44.0,0.0,192.0,16.0,230.0,128.0,1.0,375.0,2.0,2.0,5.0,0.0,9.0,576.0
Fulton,06N,1770.0,60.0,266.0,113.0,4.0,443.0,58.0,411.0,245.0,8.0,722.0,4.0,9.0,9.0,0.0,22.0,1187.0
Fulton,06Q,571.0,9.0,7.0,4.0,3.0,23.0,44.0,209.0,60.0,2.0,315.0,2.0,2.0,2.0,1.0,7.0,345.0
Fulton,06R,2015.0,40.0,188.0,86.0,2.0,316.0,47.0,611.0,358.0,1.0,1017.0,5.0,14.0,7.0,1.0,27.0,1360.0
Fulton,07A,7691.0,347.0,1377.0,494.0,8.0,2226.0,298.0,1706.0,1053.0,13.0,3070.0,16.0,55.0,28.0,0.0,99.0,5395.0
Fulton,07B,2952.0,187.0,964.0,345.0,1.0,1497.0,44.0,491.0,406.0,0.0,941.0,6.0,17.0,14.0,0.0,37.0,2475.0
Fulton,07C,4512.0,166.0,700.0,513.0,10.0,1389.0,135.0,874.0,757.0,5.0,1771.0,8.0,16.0,13.0,0.0,37.0,3197.0
Fulton,07D,4879.0,198.0,874.0,242.0,12.0,1326.0,173.0,1170.0,517.0,17.0,1877.0,11.0,28.0,7.0,0.0,46.0,3249.0
Fulton,07E,2247.0,54.0,338.0,166.0,3.0,561.0,43.0,586.0,478.0,3.0,1110.0,7.0,20.0,9.0,1.0,37.0,1708.0
Fulton,07F,3790.0,171.0,739.0,274.0,25.0,1209.0,105.0,962.0,528.0,9.0,1604.0,13.0,21.0,16.0,0.0,50.0,2863.0
Fulton,07H,2060.0,98.0,448.0,152.0,0.0,698.0,46.0,507.0,368.0,0.0,921.0,4.0,18.0,7.0,0.0,29.0,1648.0
Fulton,07J,3041.0,126.0,505.0,196.0,5.0,832.0,105.0,835.0,457.0,5.0,1402.0,7.0,25.0,9.0,2.0,43.0,2277.0
Fulton,07M,2401.0,70.0,304.0,96.0,0.0,470.0,107.0,535.0,345.0,0.0,987.0,6.0,17.0,7.0,0.0,30.0,1487.0
Fulton,07N,2139.0,40.0,128.0,50.0,2.0,220.0,111.0,594.0,335.0,7.0,1047.0,7.0,17.0,9.0,0.0,33.0,1300.0
Fulton,08A,3084.0,170.0,730.0,271.0,5.0,1176.0,92.0,735.0,352.0,5.0,1184.0,4.0,25.0,11.0,0.0,40.0,2400.0
Fulton,08B,3498.0,164.0,1042.0,313.0,1.0,1520.0,52.0,756.0,400.0,0.0,1208.0,11.0,27.0,12.0,0.0,50.0,2778.0
Fulton,08C,1500.0,65.0,561.0,169.0,0.0,795.0,20.0,216.0,164.0,0.0,400.0,1.0,5.0,6.0,0.0,12.0,1207.0
Fulton,08D,1073.0,39.0,403.0,124.0,12.0,578.0,6.0,162.0,122.0,6.0,296.0,2.0,6.0,5.0,0.0,13.0,887.0
Fulton,08E,2568.0,120.0,831.0,295.0,3.0,1249.0,36.0,475.0,392.0,0.0,903.0,0.0,14.0,8.0,0.0,22.0,2174.0
Fulton,08F1,2187.0,121.0,803.0,256.0,3.0,1183.0,24.0,390.0,249.0,1.0,664.0,3.0,17.0,2.0,0.0,22.0,1869.0
