County,Precinct,Registered Voters,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Choice Total,Total Votes
Turner,Ashburn,3509.0,1045.0,1146.0,45.0,2236.0
Turner,Sycamore,1609.0,1006.0,156.0,10.0,1172.0
Turner,Rebecca,464.0,283.0,43.0,7.0,333.0
Floyd,Alto Park,3360.0,1606.0,563.0,66.0,2235.0
Floyd,Armuchee,1269.0,735.0,136.0,21.0,892.0
Floyd,Barkers,2355.0,1340.0,218.0,33.0,1591.0
Floyd,Cave Spring,1617.0,835.0,218.0,31.0,1084.0
Floyd,Chulio,1155.0,669.0,127.0,18.0,814.0
Floyd,Etowah,4946.0,2581.0,686.0,63.0,3330.0
Floyd,Everett Springs,421.0,264.0,53.0,6.0,323.0
Floyd,Floyd Springs,1666.0,1122.0,136.0,25.0,1283.0
Floyd,Fosters Mill,971.0,592.0,76.0,19.0,687.0
Floyd,Garden Lakes,2261.0,959.0,424.0,39.0,1422.0
Floyd,Glenwood,3635.0,1693.0,504.0,71.0,2268.0
Floyd,Howell,1492.0,925.0,106.0,14.0,1045.0
Floyd,East Lindale,3398.0,1597.0,485.0,60.0,2142.0
Floyd,Mt Alto North,5096.0,1659.0,1314.0,92.0,3065.0
Floyd,Mt Alto South,3923.0,1357.0,1018.0,60.0,2435.0
Floyd,North Carolina,1865.0,908.0,195.0,38.0,1141.0
Floyd,Riverside,826.0,388.0,132.0,12.0,532.0
Floyd,East Rome,4238.0,1201.0,1087.0,63.0,2351.0
Floyd,North Rome,3369.0,955.0,885.0,55.0,1895.0
Floyd,South Rome,1600.0,188.0,528.0,34.0,750.0
Floyd,Texas Valley,762.0,531.0,74.0,9.0,614.0
Floyd,Vanns Valley,896.0,396.0,98.0,13.0,507.0
Floyd,Watters,3566.0,1932.0,349.0,64.0,2345.0
Floyd,West Lindale,2929.0,1344.0,361.0,51.0,1756.0
Floyd,Town Rome,3034.0,949.0,711.0,51.0,1711.0
Gilmer,Ellijay South,3172.0,1724.0,475.0,44.0,2243.0
Gilmer,Cartecay,1598.0,1042.0,153.0,25.0,1220.0
Gilmer,Tails Creek,1782.0,1000.0,157.0,38.0,1195.0
Gilmer,Town Creek,1234.0,703.0,117.0,24.0,844.0
Gilmer,Leaches,2939.0,1702.0,373.0,56.0,2131.0
Gilmer,Cherry Log,926.0,559.0,156.0,15.0,730.0
Gilmer,Boardtown,1391.0,935.0,198.0,27.0,1160.0
Gilmer,Mountaintown,1139.0,701.0,136.0,21.0,858.0
Gilmer,East Ellijay,1655.0,1025.0,193.0,20.0,1238.0
Gilmer,Ellijay North,1810.0,1026.0,194.0,37.0,1257.0
Gilmer,Yukon,1288.0,799.0,125.0,20.0,944.0
Gilmer,Big Creek,1479.0,897.0,189.0,33.0,1119.0
Gilmer,Ellijay Northeast,1851.0,1093.0,249.0,26.0,1368.0
Jones,Gray,0.0,1562.0,482.0,38.0,2082.0
Jones,Hawkins,0.0,878.0,1324.0,47.0,2249.0
Jones,Ethridge,0.0,813.0,417.0,23.0,1253.0
Jones,Clinton,0.0,1287.0,458.0,31.0,1776.0
Jones,Roberts,0.0,1167.0,591.0,44.0,1802.0
Jones,Davidson,0.0,929.0,188.0,26.0,1143.0
Jones,Pope,0.0,910.0,423.0,30.0,1363.0
Jones,Barron,0.0,736.0,270.0,12.0,1018.0
Jones,Sanders,0.0,111.0,30.0,5.0,146.0
Jones,Finney,0.0,1461.0,504.0,45.0,2010.0
Pike,Concord,0.0,886.0,237.0,9.0,1132.0
Pike,Hollonville,0.0,1259.0,107.0,16.0,1382.0
Pike,Meansville,0.0,894.0,108.0,16.0,1018.0
Pike,Molena,0.0,965.0,171.0,25.0,1161.0
Pike,Second District,0.0,1786.0,218.0,35.0,2039.0
Pike,Lifsey Springs,0.0,763.0,99.0,17.0,879.0
Pike,Williamson,0.0,1232.0,154.0,21.0,1407.0
Pike,Zebulon,0.0,1260.0,336.0,35.0,1631.0
Wayne,Odum,1260.0,882.0,90.0,16.0,988.0
Wayne,Madray Springs,1176.0,816.0,76.0,15.0,907.0
Wayne,Oglethorpe,1741.0,1077.0,168.0,14.0,1259.0
Wayne,Screven,1849.0,1176.0,177.0,19.0,1372.0
Wayne,Empire,1106.0,771.0,74.0,21.0,866.0
Wayne,Red Hill,1036.0,543.0,128.0,18.0,689.0
