race,sex,initParticipation,initRegistered,initVotes,runoffParticipation,runoffRegistered,runoffVotes,nVotesChange,ParticipationChange
(all),(all),8%,"6,720,103","562,316",2%,"6,660,379","159,578","-402,738",-71%
(all),Male,6%,"3,101,748","211,973",1%,"3,065,929","58,163","-153,810",-72%
(all),Female,9%,"3,618,355","350,343",2%,"3,594,450","101,415","-248,928",-71%
Asia-pi,(all),4%,"137,589","6,865",1%,"136,977","2,704","-4,161",-60%
Asia-pi,Unknown,4%,364,17,3%,364,13,-4,-23%
Asia-pi,Male,4%,"65,424","3,159",2%,"65,076","1,303","-1,856",-58%
Asia-pi,Female,5%,"72,165","3,706",1%,"71,901","1,401","-2,305",-62%
Black,(all),16%,"2,032,521","338,476",4%,"2,013,986","95,185","-243,291",-71%
Black,Unknown,5%,"2,386",141,1%,"2,343",30,-111,-78%
Black,Male,13%,"864,361","119,091",3%,"852,254","31,986","-87,105",-73%
Black,Female,18%,"1,168,160","219,385",5%,"1,161,732","63,199","-156,186",-71%
Hisp-lt,Unknown,2%,362,8,0%,362,1,-7,-87%
Hisp-lt,Male,4%,"84,717","3,489",0%,"84,199",679,"-2,810",-80%
Hisp-lt,Female,5%,"100,555","5,467",1%,"100,179","1,013","-4,454",-81%
Hisp-lt,(all),4%,"185,272","8,956",0%,"184,378","1,692","-7,264",-81%
Native-am,Female,4%,"3,848",162,1%,"3,818",50,-112,-69%
Native-am,Unknown,0%,19,0,0%,19,0,0,-
Native-am,Male,3%,"3,580",113,0%,"3,516",23,-90,-79%
Native-am,(all),3%,"7,428",275,1%,"7,334",73,-202,-73%
Other,Unknown,3%,262,10,1%,263,3,-7,-70%
Other,Male,5%,"37,434","2,173",1%,"37,046",576,"-1,597",-73%
Other,Female,8%,"46,572","3,754",2%,"46,273","1,045","-2,709",-72%
Other,(all),7%,"84,006","5,927",1%,"83,319","1,621","-4,306",-72%
Unknown,Male,4%,"332,938","13,581",1%,"326,640","3,332","-10,249",-75%
Unknown,Female,6%,"322,010","20,929",1%,"319,196","5,306","-15,623",-74%
Unknown,(all),5%,"654,948","34,510",1%,"645,836","8,638","-25,872",-74%
Unknown,Unknown,4%,"5,278",247,1%,"5,238",73,-174,-70%
White,(all),4%,"3,618,339","167,307",1%,"3,588,549","49,665","-117,642",-70%
White,Male,4%,"1,713,294","70,367",1%,"1,697,198","20,264","-50,103",-71%
White,Female,5%,"1,905,045","96,940",1%,"1,891,351","29,401","-67,539",-69%
White,Unknown,3%,"2,448",96,1%,"2,425",26,-70,-72%
