index,County,Precinct,Registered Voters,Ben Watson (I) (Rep)_Election Day Votes,Ben Watson (I) (Rep)_Advanced Voting Votes,Ben Watson (I) (Rep)_Absentee by Mail Votes,Ben Watson (I) (Rep)_Provisional Votes,Ben Watson (I) (Rep)_Choice Total,Total,
0,Liberty,Riceboro Youth Center,1083,82,238,85,0,405,405,
1,Liberty,Lyman Hall School,4542,320,806,377,0,1503,1503,
2,Liberty,Lewis Frasier School,4317,274,1187,439,0,1900,1900,
3,Liberty,Memorial Dr East,1976,121,335,171,0,627,627,
4,Liberty,Button Gwinnett,2304,127,191,94,0,412,412,
5,Liberty,Town of Allenhurst,2398,195,590,231,0,1016,1016,
6,Liberty,Hinesville,1984,132,488,181,0,801,801,
7,Liberty,Liberty County Complex,4379,300,1417,342,0,2059,2059,
8,Liberty,Walthourville,3016,18,41,14,0,73,73,
9,Liberty,Fleming West,505,48,117,47,0,212,212,
10,Liberty,Fleming East,3239,406,1117,283,0,1806,1806,
