County,Precinct,Registered Voters,Becky E. Hites (Rep)_Election Day Votes,Becky E. Hites (Rep)_Advanced Voting Votes,Becky E. Hites (Rep)_Absentee by Mail Votes,Becky E. Hites (Rep)_Provisional Votes,Becky E. Hites (Rep)_Choice Total,David Scott (I) (Dem)_Election Day Votes,David Scott (I) (Dem)_Advanced Voting Votes,David Scott (I) (Dem)_Absentee by Mail Votes,David Scott (I) (Dem)_Provisional Votes,David Scott (I) (Dem)_Choice Total,Total Votes
Fulton,CH01,376.0,13.0,25.0,15.0,1.0,54.0,9.0,104.0,38.0,3.0,154.0,208.0
Fulton,CH02,338.0,35.0,78.0,34.0,0.0,147.0,13.0,51.0,33.0,0.0,97.0,244.0
Fulton,CH03,410.0,50.0,116.0,31.0,0.0,197.0,14.0,62.0,26.0,0.0,102.0,299.0
Fulton,CH04A,825.0,42.0,218.0,65.0,0.0,325.0,18.0,214.0,96.0,0.0,328.0,653.0
Fulton,CH05,429.0,43.0,131.0,44.0,0.0,218.0,10.0,50.0,40.0,0.0,100.0,318.0
Fulton,CP06A,732.0,5.0,9.0,1.0,0.0,15.0,48.0,121.0,40.0,0.0,209.0,224.0
Fulton,CP081,373.0,3.0,1.0,1.0,0.0,5.0,32.0,54.0,15.0,5.0,106.0,111.0
Fulton,CP083,240.0,2.0,0.0,0.0,0.0,2.0,11.0,19.0,3.0,0.0,33.0,35.0
Fulton,CP084,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fulton,CP08A,756.0,8.0,2.0,0.0,0.0,10.0,55.0,83.0,28.0,0.0,166.0,176.0
Fulton,EP04B,2624.0,11.0,26.0,8.0,0.0,45.0,144.0,1059.0,277.0,3.0,1483.0,1528.0
Fulton,EP04C,1318.0,0.0,13.0,1.0,1.0,15.0,0.0,394.0,40.0,1.0,435.0,450.0
Fulton,FA01A,4032.0,41.0,152.0,70.0,1.0,264.0,224.0,1394.0,597.0,16.0,2231.0,2495.0
Fulton,FA01B,5860.0,4.0,226.0,88.0,0.0,318.0,26.0,2204.0,832.0,8.0,3070.0,3388.0
Fulton,FA01C,769.0,6.0,15.0,6.0,0.0,27.0,59.0,285.0,102.0,1.0,447.0,474.0
Fulton,FA01D,321.0,2.0,9.0,2.0,2.0,15.0,18.0,119.0,6.0,13.0,156.0,171.0
Fulton,PA01,3006.0,49.0,217.0,117.0,6.0,389.0,178.0,856.0,335.0,11.0,1380.0,1769.0
Fulton,SC04,1080.0,53.0,106.0,37.0,2.0,198.0,64.0,320.0,143.0,2.0,529.0,727.0
Fulton,SC05A,721.0,1.0,5.0,3.0,0.0,9.0,53.0,314.0,86.0,4.0,457.0,466.0
Fulton,SC05B,3646.0,16.0,41.0,21.0,1.0,79.0,176.0,1766.0,493.0,7.0,2442.0,2521.0
Fulton,SC05D,2808.0,16.0,45.0,14.0,0.0,75.0,175.0,1284.0,360.0,2.0,1821.0,1896.0
Fulton,SC05E,688.0,6.0,33.0,30.0,0.0,69.0,40.0,247.0,118.0,3.0,408.0,477.0
Fulton,SC07A,4506.0,34.0,215.0,87.0,0.0,336.0,231.0,1785.0,1021.0,11.0,3048.0,3384.0
Fulton,SC07C,41.0,0.0,1.0,1.0,0.0,2.0,1.0,8.0,2.0,0.0,11.0,13.0
Fulton,SC07D,2038.0,8.0,35.0,4.0,1.0,48.0,131.0,842.0,89.0,2.0,1064.0,1112.0
Fulton,SC08B,4096.0,24.0,48.0,23.0,1.0,96.0,258.0,1531.0,649.0,13.0,2451.0,2547.0
Fulton,SC08C,91.0,0.0,0.0,0.0,0.0,0.0,6.0,47.0,17.0,0.0,70.0,70.0
Fulton,SC08D,605.0,1.0,1.0,3.0,0.0,5.0,38.0,235.0,78.0,0.0,351.0,356.0
Fulton,SC08E,724.0,1.0,8.0,2.0,0.0,11.0,57.0,300.0,64.0,4.0,425.0,436.0
Fulton,SC08F,793.0,5.0,6.0,1.0,0.0,12.0,39.0,283.0,101.0,0.0,423.0,435.0
Fulton,SC08G,14.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0
Fulton,SC08H,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fulton,SC09A,1865.0,8.0,19.0,8.0,1.0,36.0,176.0,530.0,231.0,4.0,941.0,977.0
Fulton,SC09B,1920.0,9.0,16.0,4.0,0.0,29.0,120.0,722.0,367.0,2.0,1211.0,1240.0
Fulton,SC09C,1852.0,10.0,20.0,10.0,0.0,40.0,181.0,532.0,296.0,0.0,1009.0,1049.0
