County,Precinct,Registered Voters,Marjorie Taylor Greene (Rep)_Election Day Votes,Marjorie Taylor Greene (Rep)_Advanced Voting Votes,Marjorie Taylor Greene (Rep)_Absentee by Mail Votes,Marjorie Taylor Greene (Rep)_Provisional Votes,Marjorie Taylor Greene (Rep)_Choice Total,Kevin Van Ausdal (Dem)_Election Day Votes,Kevin Van Ausdal (Dem)_Advanced Voting Votes,Kevin Van Ausdal (Dem)_Absentee by Mail Votes,Kevin Van Ausdal (Dem)_Provisional Votes,Kevin Van Ausdal (Dem)_Choice Total,Total Votes
Floyd,West Lindale,2929.0,464.0,680.0,195.0,0.0,1339.0,95.0,146.0,117.0,0.0,358.0,1697.0
Floyd,Town Rome,3034.0,174.0,526.0,183.0,0.0,883.0,126.0,308.0,254.0,2.0,690.0,1573.0
Catoosa,Blackstock,1952.0,379.0,581.0,112.0,0.0,1072.0,47.0,109.0,55.0,1.0,212.0,1284.0
Catoosa,Boynton,6027.0,679.0,2416.0,377.0,2.0,3474.0,130.0,544.0,268.0,1.0,943.0,4417.0
Catoosa,Catoosa Keith,2611.0,493.0,850.0,167.0,0.0,1510.0,50.0,171.0,90.0,0.0,311.0,1821.0
Catoosa,Chambers,2552.0,327.0,1106.0,186.0,4.0,1623.0,59.0,187.0,91.0,0.0,337.0,1960.0
Catoosa,Ft Oglethorpe,4054.0,367.0,1286.0,291.0,1.0,1945.0,104.0,360.0,218.0,0.0,682.0,2627.0
Catoosa,Graysville,4501.0,552.0,1602.0,249.0,3.0,2406.0,111.0,336.0,189.0,0.0,636.0,3042.0
Catoosa,Lakeview,3572.0,337.0,1075.0,199.0,2.0,1613.0,90.0,256.0,132.0,1.0,479.0,2092.0
Catoosa,Poplar Springs,4191.0,467.0,1655.0,260.0,0.0,2382.0,78.0,322.0,176.0,1.0,577.0,2959.0
Catoosa,Ringgold,7414.0,578.0,2929.0,515.0,3.0,4025.0,153.0,736.0,377.0,0.0,1266.0,5291.0
Catoosa,Westside,5895.0,396.0,2084.0,403.0,2.0,2885.0,91.0,534.0,238.0,0.0,863.0,3748.0
Catoosa,Woodstation,2946.0,521.0,1156.0,151.0,3.0,1831.0,79.0,186.0,105.0,0.0,370.0,2201.0
Chattooga,Coldwater,248.0,25.0,80.0,14.0,0.0,119.0,10.0,27.0,24.0,0.0,61.0,180.0
Chattooga,Dirtseller,186.0,44.0,57.0,5.0,0.0,106.0,4.0,10.0,5.0,0.0,19.0,125.0
Chattooga,Haywood,169.0,70.0,23.0,3.0,0.0,96.0,12.0,1.0,5.0,1.0,19.0,115.0
Chattooga,Lyerly,934.0,208.0,257.0,50.0,1.0,516.0,39.0,47.0,24.0,0.0,110.0,626.0
Chattooga,Trion,3496.0,561.0,1116.0,244.0,1.0,1922.0,74.0,172.0,119.0,0.0,365.0,2287.0
Chattooga,Summerville,5155.0,524.0,1572.0,393.0,1.0,2490.0,155.0,428.0,275.0,1.0,859.0,3349.0
Chattooga,Teloga,593.0,88.0,246.0,63.0,0.0,397.0,5.0,19.0,23.0,0.0,47.0,444.0
Chattooga,Dirttown,897.0,248.0,257.0,70.0,0.0,575.0,33.0,44.0,40.0,0.0,117.0,692.0
Chattooga,Seminole,138.0,34.0,41.0,17.0,0.0,92.0,3.0,6.0,2.0,0.0,11.0,103.0
Chattooga,Subligna,489.0,166.0,122.0,49.0,1.0,338.0,11.0,12.0,17.0,0.0,40.0,378.0
Chattooga,Alpine,872.0,255.0,207.0,64.0,0.0,526.0,29.0,38.0,31.0,0.0,98.0,624.0
Chattooga,Cloudland,378.0,73.0,102.0,31.0,0.0,206.0,8.0,37.0,30.0,0.0,75.0,281.0
Chattooga,Pennville,588.0,64.0,189.0,37.0,0.0,290.0,9.0,30.0,12.0,0.0,51.0,341.0
Whitfield,1A,2533.0,175.0,306.0,158.0,3.0,642.0,169.0,315.0,157.0,0.0,641.0,1283.0
Whitfield,2A,3090.0,310.0,840.0,235.0,5.0,1390.0,146.0,344.0,168.0,1.0,659.0,2049.0
Whitfield,3A,2221.0,222.0,550.0,171.0,0.0,943.0,101.0,267.0,138.0,0.0,506.0,1449.0
Whitfield,4A,2586.0,245.0,666.0,182.0,0.0,1093.0,147.0,344.0,182.0,1.0,674.0,1767.0
Whitfield,5A,2238.0,121.0,143.0,56.0,2.0,322.0,220.0,335.0,150.0,3.0,708.0,1030.0
Whitfield,6A,1690.0,100.0,111.0,42.0,1.0,254.0,183.0,235.0,89.0,1.0,508.0,762.0
Whitfield,AN,2474.0,227.0,359.0,91.0,4.0,681.0,151.0,291.0,123.0,1.0,566.0,1247.0
Whitfield,CA,1953.0,463.0,379.0,99.0,1.0,942.0,84.0,100.0,54.0,2.0,240.0,1182.0
Whitfield,CO,1431.0,433.0,298.0,81.0,7.0,819.0,57.0,61.0,53.0,0.0,171.0,990.0
Whitfield,DG,3295.0,480.0,751.0,229.0,4.0,1464.0,203.0,313.0,179.0,0.0,695.0,2159.0
Whitfield,ES,1702.0,228.0,292.0,81.0,0.0,601.0,97.0,137.0,84.0,0.0,318.0,919.0
Whitfield,FI,2146.0,381.0,452.0,108.0,2.0,943.0,110.0,192.0,77.0,0.0,379.0,1322.0
Whitfield,GL,2510.0,334.0,497.0,139.0,1.0,971.0,191.0,255.0,136.0,1.0,583.0,1554.0
Whitfield,LT,1148.0,276.0,394.0,69.0,1.0,740.0,24.0,59.0,26.0,1.0,110.0,850.0
Whitfield,MC,1659.0,460.0,470.0,93.0,1.0,1024.0,50.0,64.0,46.0,0.0,160.0,1184.0
Whitfield,NI,2456.0,586.0,627.0,165.0,2.0,1380.0,88.0,105.0,77.0,0.0,270.0,1650.0
Whitfield,PG,4721.0,583.0,1337.0,362.0,4.0,2286.0,224.0,396.0,244.0,4.0,868.0,3154.0
Whitfield,TH,3836.0,686.0,1073.0,262.0,2.0,2023.0,116.0,246.0,168.0,0.0,530.0,2553.0
Whitfield,TI,775.0,261.0,127.0,30.0,0.0,418.0,36.0,24.0,21.0,1.0,82.0,500.0
Whitfield,TR,1335.0,327.0,425.0,114.0,0.0,866.0,42.0,56.0,49.0,0.0,147.0,1013.0
Whitfield,UT,1053.0,346.0,243.0,70.0,0.0,659.0,42.0,28.0,35.0,0.0,105.0,764.0
Whitfield,VA,5250.0,906.0,1528.0,371.0,2.0,2807.0,177.0,411.0,229.0,0.0,817.0,3624.0
Whitfield,WS,2647.0,470.0,759.0,215.0,3.0,1447.0,81.0,212.0,113.0,1.0,407.0,1854.0
Dade,South Dade,969.0,189.0,280.0,49.0,0.0,518.0,24.0,64.0,28.0,0.0,116.0,634.0
Dade,New Salem,1255.0,267.0,346.0,96.0,1.0,710.0,43.0,87.0,62.0,0.0,192.0,902.0
Dade,Davis,2012.0,408.0,673.0,86.0,1.0,1168.0,36.0,56.0,22.0,0.0,114.0,1282.0
Dade,New Home,711.0,206.0,145.0,50.0,0.0,401.0,22.0,20.0,18.0,1.0,61.0,462.0
Dade,West Brow,1237.0,272.0,266.0,85.0,0.0,623.0,46.0,78.0,49.0,0.0,173.0,796.0
Dade,Trenton,3573.0,321.0,1059.0,168.0,3.0,1551.0,42.0,187.0,67.0,0.0,296.0,1847.0
Dade,North Dade,1903.0,277.0,550.0,94.0,1.0,922.0,40.0,146.0,84.0,0.0,270.0,1192.0
Paulding,Burnt Hickory Park,6242.0,626.0,2782.0,609.0,4.0,4021.0,107.0,476.0,276.0,2.0,861.0,4882.0
Paulding,Crossroads Library,3662.0,314.0,1485.0,423.0,1.0,2223.0,92.0,409.0,324.0,1.0,826.0,3049.0
Paulding,Shelton Elementary,5095.0,473.0,1635.0,431.0,3.0,2542.0,162.0,762.0,450.0,0.0,1374.0,3916.0
Paulding,Russom Elementary,8243.0,707.0,2767.0,998.0,5.0,4477.0,204.0,1003.0,880.0,2.0,2089.0,6566.0
Paulding,Paulding Sr Center,5972.0,507.0,1817.0,424.0,6.0,2754.0,204.0,857.0,528.0,3.0,1592.0,4346.0
Paulding,Legacy Bapt Church,4443.0,319.0,1087.0,441.0,2.0,1849.0,144.0,590.0,437.0,3.0,1174.0,3023.0
Paulding,Watson Govt Cmplx,10774.0,662.0,2726.0,818.0,8.0,4214.0,375.0,1562.0,980.0,3.0,2920.0,7134.0
Paulding,West Ridge Church,11546.0,1032.0,3643.0,1180.0,3.0,5858.0,322.0,1265.0,953.0,1.0,2541.0,8399.0
Paulding,Events Place,4923.0,240.0,770.0,305.0,3.0,1318.0,238.0,1125.0,747.0,3.0,2113.0,3431.0
Paulding,Poplar Sprgs Bapt Church,4825.0,273.0,937.0,288.0,0.0,1498.0,238.0,990.0,569.0,1.0,1798.0,3296.0
Paulding,D Wright Innovation Ctr,7137.0,508.0,2212.0,382.0,2.0,3104.0,241.0,1056.0,604.0,1.0,1902.0,5006.0
Paulding,Nebo Elem School,10070.0,1090.0,3274.0,782.0,4.0,5150.0,285.0,921.0,669.0,6.0,1881.0,7031.0
Paulding,White Oak Park,5833.0,500.0,1653.0,416.0,6.0,2575.0,215.0,725.0,474.0,3.0,1417.0,3992.0
Paulding,Mulberry Rock Park,5911.0,705.0,2315.0,572.0,4.0,3596.0,108.0,377.0,265.0,1.0,751.0,4347.0
Paulding,Beulahland Baptist Church,2547.0,367.0,892.0,186.0,3.0,1448.0,57.0,198.0,137.0,0.0,392.0,1840.0
Paulding,Paulding County Airport,4132.0,529.0,1330.0,322.0,2.0,2183.0,121.0,320.0,239.0,2.0,682.0,2865.0
Paulding,Picketts Mill Baptist Church,2748.0,303.0,966.0,273.0,0.0,1542.0,63.0,279.0,255.0,1.0,598.0,2140.0
Paulding,Taylor Farm Park,2761.0,172.0,769.0,290.0,0.0,1231.0,98.0,407.0,200.0,0.0,705.0,1936.0
Paulding,Dobbins Middle School,8081.0,413.0,2025.0,505.0,2.0,2945.0,343.0,1563.0,969.0,2.0,2877.0,5822.0
Gordon,Sugar Valley,1471.0,409.0,351.0,89.0,1.0,850.0,40.0,43.0,41.0,0.0,124.0,974.0
Gordon,Plainville,2044.0,515.0,446.0,125.0,3.0,1089.0,56.0,58.0,67.0,0.0,181.0,1270.0
Gordon,Sonoraville,5380.0,1107.0,1642.0,366.0,2.0,3117.0,138.0,221.0,153.0,0.0,512.0,3629.0
Gordon,Pine Chapel,1071.0,311.0,255.0,55.0,0.0,621.0,21.0,27.0,37.0,0.0,85.0,706.0
Gordon,Oostanaula,667.0,207.0,111.0,65.0,0.0,383.0,27.0,28.0,28.0,0.0,83.0,466.0
Gordon,Oakman,1439.0,423.0,242.0,86.0,0.0,751.0,35.0,42.0,46.0,0.0,123.0,874.0
Gordon,Gordon County,6423.0,804.0,1846.0,450.0,2.0,3102.0,172.0,374.0,225.0,0.0,771.0,3873.0
Gordon,Calhoun City,9532.0,903.0,2511.0,611.0,2.0,4027.0,353.0,801.0,505.0,0.0,1659.0,5686.0
Gordon,Lily Pond,1914.0,351.0,565.0,141.0,0.0,1057.0,43.0,79.0,80.0,0.0,202.0,1259.0
Gordon,Fairmount,1991.0,660.0,348.0,164.0,2.0,1174.0,64.0,43.0,53.0,0.0,160.0,1334.0
Gordon,Red Bud,2965.0,616.0,857.0,144.0,1.0,1618.0,87.0,151.0,97.0,0.0,335.0,1953.0
Gordon,Resaca,1532.0,385.0,322.0,111.0,1.0,819.0,45.0,49.0,33.0,0.0,127.0,946.0
Murray,McDonald,2524.0,319.0,941.0,140.0,0.0,1400.0,56.0,117.0,63.0,0.0,236.0,1636.0
Murray,Shuck Pen,2940.0,612.0,900.0,142.0,0.0,1654.0,102.0,147.0,62.0,0.0,311.0,1965.0
Murray,Southwest,3215.0,667.0,825.0,190.0,0.0,1682.0,73.0,92.0,62.0,0.0,227.0,1909.0
Murray,Spring Place,3671.0,505.0,1295.0,189.0,0.0,1989.0,106.0,218.0,148.0,0.0,472.0,2461.0
Murray,Town,5766.0,647.0,2244.0,419.0,0.0,3310.0,104.0,364.0,205.0,0.0,673.0,3983.0
Murray,Carters-Doolittle,2045.0,454.0,591.0,138.0,0.0,1183.0,41.0,74.0,40.0,0.0,155.0,1338.0
Murray,North,2123.0,539.0,648.0,121.0,0.0,1308.0,49.0,64.0,60.0,0.0,173.0,1481.0
Walker,La Fayette,6547.0,706.0,1998.0,526.0,1.0,3231.0,128.0,390.0,310.0,0.0,828.0,4059.0
Walker,Walnut Grove,2212.0,427.0,756.0,165.0,0.0,1348.0,36.0,79.0,62.0,0.0,177.0,1525.0
Walker,Rock Spring,6275.0,657.0,2548.0,544.0,0.0,3749.0,92.0,350.0,239.0,0.0,681.0,4430.0
Walker,Armuchee Valley,1453.0,548.0,234.0,80.0,0.0,862.0,57.0,43.0,59.0,0.0,159.0,1021.0
Walker,Mountain,1254.0,382.0,221.0,106.0,1.0,710.0,46.0,46.0,68.0,0.0,160.0,870.0
Walker,Chattanooga Valley,6325.0,791.0,2028.0,569.0,2.0,3390.0,184.0,405.0,397.0,0.0,986.0,4376.0
Walker,Kensington,1347.0,347.0,315.0,86.0,1.0,749.0,47.0,72.0,60.0,1.0,180.0,929.0
Walker,Rossville,6255.0,492.0,1696.0,464.0,0.0,2652.0,185.0,392.0,330.0,1.0,908.0,3560.0
Walker,Chickamauga,6890.0,621.0,2761.0,593.0,1.0,3976.0,98.0,398.0,305.0,0.0,801.0,4777.0
Walker,Fairyland,1265.0,150.0,387.0,81.0,0.0,618.0,37.0,175.0,64.0,0.0,276.0,894.0
Walker,Fairview,3101.0,380.0,810.0,237.0,2.0,1429.0,79.0,175.0,138.0,0.0,392.0,1821.0
Polk,Aragon,3224.0,483.0,1187.0,206.0,3.0,1879.0,67.0,207.0,103.0,0.0,377.0,2256.0
Polk,Blooming Grove,1659.0,279.0,557.0,104.0,1.0,941.0,38.0,99.0,49.0,2.0,188.0,1129.0
Polk,Cedartown,6205.0,468.0,1716.0,489.0,4.0,2677.0,198.0,635.0,402.0,3.0,1238.0,3915.0
Polk,Fish Creek,2566.0,375.0,1005.0,170.0,2.0,1552.0,52.0,140.0,91.0,0.0,283.0,1835.0
Polk,Lake Creek,2828.0,387.0,1281.0,171.0,0.0,1839.0,48.0,172.0,71.0,0.0,291.0,2130.0
Polk,Rockmart,5746.0,488.0,2313.0,324.0,1.0,3126.0,148.0,547.0,249.0,3.0,947.0,4073.0
Polk,Youngs Grove,1961.0,316.0,762.0,161.0,1.0,1240.0,35.0,83.0,49.0,0.0,167.0,1407.0
Pickens,Hill,2042.0,523.0,573.0,160.0,2.0,1258.0,57.0,93.0,82.0,0.0,232.0,1490.0
Pickens,Hinton,825.0,300.0,144.0,29.0,0.0,473.0,28.0,19.0,12.0,0.0,59.0,532.0
Pickens,Jerusalem,1145.0,488.0,194.0,60.0,0.0,742.0,30.0,24.0,36.0,0.0,90.0,832.0
Pickens,Ludville,721.0,303.0,90.0,30.0,0.0,423.0,20.0,13.0,11.0,0.0,44.0,467.0
Pickens,Talking Rock,1781.0,459.0,466.0,130.0,3.0,1058.0,22.0,61.0,41.0,0.0,124.0,1182.0
Pickens,Jasper,2517.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Pickens,Tate,2651.0,445.0,558.0,130.0,0.0,1133.0,39.0,59.0,50.0,0.0,148.0,1281.0
Haralson,Bremen,6622.0,970.0,2222.0,562.0,0.0,3754.0,130.0,323.0,291.0,0.0,744.0,4498.0
Haralson,Buchanan,2365.0,393.0,815.0,208.0,1.0,1417.0,29.0,79.0,64.0,0.0,172.0,1589.0
Haralson,Buncombe,1075.0,287.0,248.0,90.0,0.0,625.0,23.0,22.0,19.0,0.0,64.0,689.0
Haralson,Corinth,1682.0,383.0,508.0,145.0,0.0,1036.0,24.0,43.0,23.0,0.0,90.0,1126.0
Haralson,Twentieth,738.0,219.0,191.0,68.0,0.0,478.0,11.0,13.0,22.0,0.0,46.0,524.0
Haralson,Felton,304.0,104.0,76.0,19.0,0.0,199.0,4.0,1.0,7.0,0.0,12.0,211.0
Haralson,Little Creek,699.0,263.0,168.0,63.0,0.0,494.0,13.0,6.0,16.0,0.0,35.0,529.0
Haralson,Mt View,330.0,131.0,64.0,26.0,0.0,221.0,11.0,6.0,3.0,0.0,20.0,241.0
Haralson,Seventh,1932.0,375.0,559.0,138.0,2.0,1074.0,27.0,78.0,66.0,0.0,171.0,1245.0
Haralson,Berea-Steadman,665.0,213.0,153.0,50.0,0.0,416.0,8.0,23.0,6.0,0.0,37.0,453.0
Haralson,Tallapoosa,3072.0,557.0,810.0,282.0,1.0,1650.0,75.0,119.0,108.0,0.0,302.0,1952.0
Haralson,Waco,1183.0,315.0,294.0,78.0,0.0,687.0,28.0,23.0,24.0,0.0,75.0,762.0
