County,Precinct,Registered Voters,Marjorie Taylor Greene (Rep)_Election Day Votes,Marjorie Taylor Greene (Rep)_Advanced Voting Votes,Marjorie Taylor Greene (Rep)_Absentee by Mail Votes,Marjorie Taylor Greene (Rep)_Provisional Votes,Marjorie Taylor Greene (Rep)_Choice Total,Kevin Van Ausdal (Dem)_Election Day Votes,Kevin Van Ausdal (Dem)_Advanced Voting Votes,Kevin Van Ausdal (Dem)_Absentee by Mail Votes,Kevin Van Ausdal (Dem)_Provisional Votes,Kevin Van Ausdal (Dem)_Choice Total,Total Votes
Floyd,Alto Park,3360.0,318.0,939.0,275.0,11.0,1543.0,90.0,261.0,221.0,0.0,572.0,2115.0
Floyd,Armuchee,1269.0,269.0,342.0,107.0,1.0,719.0,35.0,65.0,34.0,0.0,134.0,853.0
Floyd,Barkers,2355.0,387.0,760.0,187.0,10.0,1344.0,41.0,93.0,66.0,0.0,200.0,1544.0
Floyd,Cave Spring,1617.0,411.0,293.0,122.0,5.0,831.0,64.0,49.0,91.0,1.0,205.0,1036.0
Floyd,Chulio,1155.0,272.0,288.0,93.0,17.0,670.0,34.0,30.0,47.0,0.0,111.0,781.0
Floyd,Etowah,4946.0,571.0,1500.0,406.0,8.0,2485.0,99.0,309.0,264.0,0.0,672.0,3157.0
Floyd,Everett Springs,421.0,167.0,64.0,26.0,3.0,260.0,30.0,8.0,17.0,0.0,55.0,315.0
Floyd,Floyd Springs,1666.0,400.0,519.0,140.0,40.0,1099.0,33.0,62.0,39.0,4.0,138.0,1237.0
Floyd,Fosters Mill,971.0,274.0,249.0,67.0,2.0,592.0,20.0,27.0,22.0,0.0,69.0,661.0
Floyd,Garden Lakes,2261.0,209.0,564.0,176.0,0.0,949.0,80.0,199.0,118.0,0.0,397.0,1346.0
Floyd,Glenwood,3635.0,496.0,923.0,244.0,1.0,1664.0,112.0,222.0,189.0,2.0,525.0,2189.0
Floyd,Howell,1492.0,422.0,367.0,122.0,11.0,922.0,29.0,53.0,22.0,0.0,104.0,1026.0
Floyd,East Lindale,3398.0,431.0,881.0,256.0,0.0,1568.0,94.0,225.0,156.0,0.0,475.0,2043.0
Floyd,Mt Alto North,5096.0,229.0,1077.0,310.0,0.0,1616.0,261.0,672.0,390.0,5.0,1328.0,2944.0
Floyd,Mt Alto South,3923.0,292.0,790.0,227.0,6.0,1315.0,240.0,482.0,271.0,1.0,994.0,2309.0
Floyd,North Carolina,1865.0,269.0,507.0,123.0,2.0,901.0,39.0,99.0,63.0,4.0,205.0,1106.0
Floyd,Riverside,826.0,145.0,186.0,42.0,5.0,378.0,45.0,60.0,25.0,0.0,130.0,508.0
Floyd,East Rome,4238.0,261.0,624.0,231.0,4.0,1120.0,179.0,536.0,333.0,2.0,1050.0,2170.0
Floyd,North Rome,3369.0,145.0,509.0,252.0,4.0,910.0,153.0,327.0,368.0,3.0,851.0,1761.0
Floyd,South Rome,1600.0,46.0,95.0,48.0,1.0,190.0,135.0,195.0,184.0,1.0,515.0,705.0
Floyd,Texas Valley,762.0,250.0,190.0,59.0,14.0,513.0,23.0,32.0,31.0,0.0,86.0,599.0
Floyd,Vanns Valley,896.0,135.0,164.0,80.0,3.0,382.0,37.0,46.0,23.0,0.0,106.0,488.0
Floyd,Watters,3566.0,633.0,998.0,273.0,14.0,1918.0,99.0,158.0,119.0,6.0,382.0,2300.0
