County,Precinct,Registered Voters,Bryce A. Johnson (Rep)_Election Day Votes,Bryce A. Johnson (Rep)_Advanced Voting Votes,Bryce A. Johnson (Rep)_Absentee by Mail Votes,Bryce A. Johnson (Rep)_Provisional Votes,Bryce A. Johnson (Rep)_Choice Total,Total Votes
Turner,Ashburn,3509.0,301.0,1121.0,225.0,0.0,1647.0,1647.0
Turner,Sycamore,1609.0,141.0,847.0,91.0,0.0,1079.0,1079.0
Turner,Rebecca,464.0,122.0,154.0,31.0,0.0,307.0,307.0
Irwin,Irwinville,1796.0,314.0,729.0,160.0,0.0,1203.0,1203.0
Irwin,Ocilla,3642.0,330.0,1313.0,237.0,3.0,1883.0,1883.0
Irwin,Holt,675.0,125.0,283.0,59.0,0.0,467.0,467.0
Worth,Sylvester,3006.0,259.0,630.0,250.0,0.0,1139.0,1139.0
Worth,Scooterville,603.0,201.0,147.0,35.0,0.0,383.0,383.0
Worth,Minton,543.0,189.0,157.0,39.0,0.0,385.0,385.0
Worth,Bridgeboro,1286.0,319.0,338.0,88.0,0.0,745.0,745.0
Worth,County Line,887.0,185.0,198.0,67.0,0.0,450.0,450.0
Worth,Isabella,1424.0,281.0,528.0,117.0,0.0,926.0,926.0
Worth,Piney Woods,336.0,53.0,77.0,26.0,0.0,156.0,156.0
Worth,Sylvester East,1406.0,194.0,508.0,127.0,0.0,829.0,829.0
Worth,Poulan,887.0,245.0,226.0,62.0,0.0,533.0,533.0
Worth,Sumner,871.0,231.0,209.0,62.0,0.0,502.0,502.0
Worth,Shingler,554.0,189.0,162.0,41.0,0.0,392.0,392.0
Worth,Red Rock,1287.0,299.0,254.0,82.0,0.0,635.0,635.0
Worth,Doles,449.0,155.0,102.0,37.0,0.0,294.0,294.0
Worth,Oakfield,229.0,59.0,48.0,17.0,0.0,124.0,124.0
Worth,Warwick,701.0,210.0,127.0,79.0,0.0,416.0,416.0
Tift,Tifton Northeast,3332.0,292.0,1176.0,302.0,11.0,1781.0,1781.0
Tift,Brighton,2219.0,358.0,1087.0,188.0,0.0,1633.0,1633.0
Tift,Brookfield,1501.0,331.0,556.0,80.0,0.0,967.0,967.0
Tift,Chula,1314.0,317.0,526.0,132.0,1.0,976.0,976.0
Tift,Docia,1056.0,241.0,451.0,99.0,1.0,792.0,792.0
Tift,Eldorado,1262.0,301.0,444.0,79.0,2.0,826.0,826.0
Tift,Omega,864.0,284.0,162.0,40.0,1.0,487.0,487.0
Tift,Ty Ty,1221.0,284.0,370.0,87.0,1.0,742.0,742.0
Tift,Tifton Northwest,3334.0,350.0,1395.0,294.0,0.0,2039.0,2039.0
Tift,Tifton South,2366.0,157.0,458.0,137.0,1.0,753.0,753.0
Tift,Mott-Litman Gym,2889.0,183.0,478.0,156.0,1.0,818.0,818.0
Tift,Tifton Lodge,3091.0,252.0,1186.0,281.0,0.0,1719.0,1719.0
