County,Precinct,Registered Voters,Fani Willis (Dem)_Election Day Votes,Fani Willis (Dem)_Advanced Voting Votes,Fani Willis (Dem)_Absentee by Mail Votes,Fani Willis (Dem)_Provisional Votes,Fani Willis (Dem)_Choice Total,Total Votes
Fulton,01A,3694.0,174.0,1699.0,705.0,24.0,2602.0,2602.0
Fulton,01B,4327.0,262.0,1864.0,857.0,5.0,2988.0,2988.0
Fulton,01C,1908.0,194.0,375.0,160.0,0.0,729.0,729.0
Fulton,01D,754.0,26.0,281.0,114.0,7.0,428.0,428.0
Fulton,01E,3720.0,119.0,1581.0,747.0,1.0,2448.0,2448.0
Fulton,01F,1593.0,119.0,255.0,102.0,7.0,483.0,483.0
Fulton,01G,2312.0,141.0,748.0,280.0,4.0,1173.0,1173.0
Fulton,01H,896.0,66.0,209.0,119.0,6.0,400.0,400.0
Fulton,01I,0.0,0.0,1.0,0.0,0.0,1.0,1.0
Fulton,01J,2848.0,229.0,728.0,326.0,17.0,1300.0,1300.0
Fulton,01P,1444.0,208.0,222.0,168.0,4.0,602.0,602.0
Fulton,01R,1550.0,207.0,145.0,122.0,12.0,486.0,486.0
Fulton,01S,2118.0,237.0,471.0,204.0,8.0,920.0,920.0
Fulton,01T,1799.0,178.0,468.0,184.0,4.0,834.0,834.0
Fulton,02A,4884.0,181.0,1898.0,1051.0,20.0,3150.0,3150.0
Fulton,02A1,733.0,29.0,309.0,50.0,2.0,390.0,390.0
Fulton,02B,4020.0,177.0,806.0,285.0,28.0,1296.0,1296.0
Fulton,02C,2034.0,84.0,712.0,383.0,30.0,1209.0,1209.0
Fulton,02D,5539.0,277.0,1976.0,1053.0,30.0,3336.0,3336.0
Fulton,02E,2009.0,102.0,901.0,444.0,0.0,1447.0,1447.0
Fulton,02F1,3221.0,115.0,1294.0,692.0,6.0,2107.0,2107.0
Fulton,02F2,851.0,48.0,268.0,134.0,4.0,454.0,454.0
Fulton,02G,3895.0,207.0,1644.0,726.0,6.0,2583.0,2583.0
Fulton,02J,2273.0,102.0,899.0,417.0,9.0,1427.0,1427.0
Fulton,02K,1461.0,47.0,608.0,279.0,0.0,934.0,934.0
Fulton,02L1,5546.0,210.0,2150.0,1251.0,11.0,3622.0,3622.0
Fulton,02L1A,1477.0,82.0,561.0,79.0,6.0,728.0,728.0
Fulton,02L2,2249.0,130.0,861.0,357.0,5.0,1353.0,1353.0
Fulton,02S,790.0,46.0,282.0,133.0,0.0,461.0,461.0
Fulton,02W,978.0,60.0,400.0,123.0,0.0,583.0,583.0
Fulton,03A,2230.0,144.0,386.0,219.0,18.0,767.0,767.0
Fulton,03B,777.0,55.0,99.0,61.0,0.0,215.0,215.0
Fulton,03C,1879.0,140.0,348.0,228.0,7.0,723.0,723.0
Fulton,03D,1235.0,88.0,218.0,105.0,22.0,433.0,433.0
Fulton,03E,2894.0,298.0,480.0,207.0,44.0,1029.0,1029.0
Fulton,03F,2328.0,139.0,821.0,335.0,4.0,1299.0,1299.0
Fulton,03G,1033.0,78.0,150.0,41.0,3.0,272.0,272.0
Fulton,03H,1091.0,87.0,221.0,95.0,0.0,403.0,403.0
Fulton,03I,1607.0,104.0,336.0,109.0,19.0,568.0,568.0
Fulton,03L,748.0,65.0,94.0,43.0,0.0,202.0,202.0
Fulton,03M,965.0,161.0,242.0,83.0,2.0,488.0,488.0
Fulton,03N,2804.0,225.0,471.0,154.0,23.0,873.0,873.0
Fulton,03P1A,4404.0,272.0,1395.0,510.0,13.0,2190.0,2190.0
Fulton,03P2,23.0,0.0,7.0,0.0,0.0,7.0,7.0
Fulton,03S,908.0,97.0,203.0,103.0,0.0,403.0,403.0
Fulton,03T,1742.0,146.0,499.0,128.0,5.0,778.0,778.0
Fulton,04A,1554.0,98.0,317.0,157.0,0.0,572.0,572.0
Fulton,04B,2948.0,127.0,406.0,210.0,0.0,743.0,743.0
Fulton,04C,150.0,11.0,27.0,12.0,1.0,51.0,51.0
Fulton,04D,1736.0,155.0,454.0,187.0,5.0,801.0,801.0
Fulton,04F,2786.0,189.0,779.0,205.0,11.0,1184.0,1184.0
Fulton,04G,1025.0,116.0,192.0,82.0,1.0,391.0,391.0
Fulton,04I,4604.0,76.0,457.0,173.0,7.0,713.0,713.0
Fulton,04J,1617.0,45.0,110.0,16.0,11.0,182.0,182.0
Fulton,04K,2736.0,191.0,710.0,354.0,13.0,1268.0,1268.0
Fulton,04L,2014.0,168.0,560.0,188.0,6.0,922.0,922.0
Fulton,04M,979.0,102.0,149.0,68.0,5.0,324.0,324.0
Fulton,04S,2541.0,263.0,611.0,300.0,7.0,1181.0,1181.0
Fulton,04T,1297.0,132.0,338.0,159.0,20.0,649.0,649.0
Fulton,04V,3573.0,370.0,705.0,230.0,3.0,1308.0,1308.0
Fulton,04W,3365.0,57.0,131.0,27.0,7.0,222.0,222.0
Fulton,04X1,2283.0,166.0,610.0,262.0,2.0,1040.0,1040.0
Fulton,04X2,846.0,61.0,236.0,95.0,0.0,392.0,392.0
Fulton,05A1,2936.0,135.0,1276.0,598.0,1.0,2010.0,2010.0
Fulton,05A2,3343.0,145.0,1451.0,599.0,11.0,2206.0,2206.0
Fulton,05B,2171.0,174.0,620.0,261.0,3.0,1058.0,1058.0
Fulton,05C,135.0,6.0,27.0,7.0,0.0,40.0,40.0
Fulton,05D,541.0,18.0,58.0,9.0,2.0,87.0,87.0
Fulton,05F,248.0,22.0,86.0,24.0,0.0,132.0,132.0
Fulton,05J,684.0,38.0,273.0,123.0,1.0,435.0,435.0
Fulton,05K,2826.0,151.0,716.0,271.0,5.0,1143.0,1143.0
Fulton,06B,1889.0,94.0,790.0,379.0,7.0,1270.0,1270.0
Fulton,06D,6160.0,330.0,2209.0,1969.0,12.0,4520.0,4520.0
Fulton,06D1,2539.0,72.0,1000.0,157.0,5.0,1234.0,1234.0
Fulton,06D2,850.0,23.0,333.0,50.0,1.0,407.0,407.0
Fulton,06E,2344.0,114.0,871.0,386.0,2.0,1373.0,1373.0
Fulton,06F,2841.0,118.0,1171.0,501.0,5.0,1795.0,1795.0
Fulton,06G,588.0,19.0,225.0,125.0,1.0,370.0,370.0
Fulton,06I,4072.0,299.0,1439.0,544.0,22.0,2304.0,2304.0
Fulton,06J,2770.0,98.0,1066.0,711.0,1.0,1876.0,1876.0
Fulton,06L1,991.0,40.0,382.0,227.0,2.0,651.0,651.0
Fulton,06L2,726.0,26.0,278.0,141.0,1.0,446.0,446.0
Fulton,06N,1770.0,79.0,537.0,298.0,10.0,924.0,924.0
Fulton,06Q,571.0,48.0,212.0,62.0,5.0,327.0,327.0
Fulton,06R,2015.0,63.0,707.0,368.0,3.0,1141.0,1141.0
Fulton,07A,7691.0,492.0,2423.0,1227.0,17.0,4159.0,4159.0
Fulton,07B,2952.0,154.0,1000.0,579.0,1.0,1734.0,1734.0
Fulton,07C,4512.0,214.0,1234.0,945.0,11.0,2404.0,2404.0
Fulton,07D,4879.0,281.0,1631.0,640.0,20.0,2572.0,2572.0
Fulton,07E,2247.0,68.0,763.0,544.0,5.0,1380.0,1380.0
Fulton,07F,3790.0,207.0,1348.0,642.0,20.0,2217.0,2217.0
Fulton,07H,2060.0,94.0,725.0,425.0,0.0,1244.0,1244.0
Fulton,07J,3041.0,180.0,1094.0,514.0,10.0,1798.0,1798.0
Fulton,07M,2401.0,152.0,679.0,382.0,0.0,1213.0,1213.0
Fulton,07N,2139.0,135.0,653.0,355.0,9.0,1152.0,1152.0
Fulton,08A,3084.0,191.0,1080.0,471.0,7.0,1749.0,1749.0
Fulton,08B,3498.0,154.0,1311.0,564.0,1.0,2030.0,2030.0
Fulton,08C,1500.0,63.0,543.0,269.0,0.0,875.0,875.0
Fulton,08D,1073.0,27.0,391.0,191.0,13.0,622.0,622.0
Fulton,08E,2568.0,99.0,921.0,524.0,0.0,1544.0,1544.0
Fulton,08F1,2187.0,88.0,859.0,382.0,4.0,1333.0,1333.0
Fulton,08G,3086.0,150.0,784.0,567.0,5.0,1506.0,1506.0
Fulton,08H,2556.0,88.0,880.0,532.0,3.0,1503.0,1503.0
Fulton,08J,3344.0,156.0,1370.0,468.0,6.0,2000.0,2000.0
Fulton,08K,1049.0,75.0,398.0,211.0,0.0,684.0,684.0
Fulton,08L,4505.0,223.0,1615.0,806.0,20.0,2664.0,2664.0
Fulton,08M,2295.0,135.0,798.0,335.0,5.0,1273.0,1273.0
Fulton,08N1,824.0,27.0,292.0,142.0,2.0,463.0,463.0
Fulton,08N2,1616.0,66.0,531.0,331.0,2.0,930.0,930.0
Fulton,08P,1887.0,117.0,645.0,223.0,6.0,991.0,991.0
Fulton,09A,3856.0,195.0,1562.0,579.0,9.0,2345.0,2345.0
Fulton,09B,464.0,28.0,80.0,66.0,0.0,174.0,174.0
Fulton,09C,3353.0,257.0,859.0,459.0,22.0,1597.0,1597.0
Fulton,09D,2299.0,220.0,437.0,294.0,9.0,960.0,960.0
Fulton,09E,3261.0,266.0,950.0,321.0,2.0,1539.0,1539.0
Fulton,09F,3917.0,169.0,1532.0,678.0,4.0,2383.0,2383.0
Fulton,09G,3943.0,232.0,1528.0,630.0,9.0,2399.0,2399.0
Fulton,09H,1185.0,79.0,417.0,152.0,1.0,649.0,649.0
Fulton,09I,1397.0,138.0,257.0,173.0,2.0,570.0,570.0
Fulton,09K,4002.0,265.0,865.0,456.0,11.0,1597.0,1597.0
Fulton,09K1,1518.0,111.0,318.0,38.0,1.0,468.0,468.0
Fulton,09M,2578.0,102.0,1229.0,346.0,0.0,1677.0,1677.0
Fulton,10A,3186.0,239.0,933.0,526.0,14.0,1712.0,1712.0
Fulton,10B,3965.0,235.0,1474.0,846.0,11.0,2566.0,2566.0
Fulton,10C,2598.0,139.0,692.0,315.0,14.0,1160.0,1160.0
Fulton,10D,4968.0,311.0,1120.0,539.0,142.0,2112.0,2112.0
Fulton,10E,1084.0,96.0,301.0,185.0,3.0,585.0,585.0
Fulton,10F,1208.0,117.0,296.0,198.0,12.0,623.0,623.0
Fulton,10G,1332.0,99.0,508.0,232.0,2.0,841.0,841.0
Fulton,10H1,439.0,30.0,147.0,74.0,13.0,264.0,264.0
Fulton,10H2,2623.0,173.0,549.0,341.0,11.0,1074.0,1074.0
Fulton,10I,331.0,12.0,157.0,90.0,0.0,259.0,259.0
Fulton,10J,1238.0,148.0,182.0,130.0,14.0,474.0,474.0
Fulton,10K,1614.0,110.0,549.0,299.0,4.0,962.0,962.0
Fulton,10M,2880.0,247.0,864.0,409.0,14.0,1534.0,1534.0
Fulton,10P,1607.0,149.0,338.0,228.0,3.0,718.0,718.0
Fulton,10R,928.0,96.0,198.0,84.0,14.0,392.0,392.0
Fulton,11B,4395.0,340.0,1325.0,813.0,33.0,2511.0,2511.0
Fulton,11B1,894.0,75.0,283.0,28.0,5.0,391.0,391.0
Fulton,11C,3149.0,162.0,1340.0,568.0,11.0,2081.0,2081.0
Fulton,11E1,1340.0,120.0,390.0,163.0,16.0,689.0,689.0
Fulton,11E2,1003.0,78.0,341.0,160.0,4.0,583.0,583.0
Fulton,11E3,3605.0,270.0,1364.0,338.0,15.0,1987.0,1987.0
Fulton,11G,2556.0,118.0,481.0,311.0,27.0,937.0,937.0
Fulton,11H,753.0,50.0,183.0,133.0,4.0,370.0,370.0
Fulton,11J,2092.0,182.0,504.0,316.0,21.0,1023.0,1023.0
Fulton,11K,2045.0,146.0,614.0,371.0,13.0,1144.0,1144.0
Fulton,11M,1380.0,101.0,565.0,345.0,7.0,1018.0,1018.0
Fulton,11M1,2190.0,136.0,526.0,53.0,26.0,741.0,741.0
Fulton,11N,2431.0,194.0,802.0,439.0,2.0,1437.0,1437.0
