County,Precinct,Registered Voters,Shannon Wallace (I) (Rep)_Election Day Votes,Shannon Wallace (I) (Rep)_Advanced Voting Votes,Shannon Wallace (I) (Rep)_Absentee by Mail Votes,Shannon Wallace (I) (Rep)_Provisional Votes,Shannon Wallace (I) (Rep)_Choice Total,Total Votes
Cherokee,Air Acres,3050.0,503.0,913.0,464.0,2.0,1882.0,1882.0
Cherokee,Arnold Mill,4884.0,868.0,1671.0,735.0,0.0,3274.0,3274.0
Cherokee,Avery,3592.0,492.0,1515.0,565.0,0.0,2572.0,2572.0
Cherokee,Ball Ground,4065.0,551.0,1818.0,387.0,1.0,2757.0,2757.0
Cherokee,Bascomb,4115.0,658.0,1358.0,518.0,0.0,2534.0,2534.0
Cherokee,Bells,5906.0,785.0,1602.0,759.0,1.0,3147.0,3147.0
Cherokee,Booth,3899.0,462.0,1455.0,601.0,0.0,2518.0,2518.0
Cherokee,Bradshaw,4491.0,541.0,1859.0,717.0,0.0,3117.0,3117.0
Cherokee,Bridgemill,5113.0,688.0,2068.0,706.0,0.0,3462.0,3462.0
Cherokee,Canton,8213.0,762.0,2543.0,1333.0,0.0,4638.0,4638.0
Cherokee,Carmel,4581.0,662.0,1102.0,587.0,3.0,2354.0,2354.0
Cherokee,Clayton,4906.0,795.0,1828.0,662.0,1.0,3286.0,3286.0
Cherokee,Conns Creek,895.0,265.0,289.0,72.0,0.0,626.0,626.0
Cherokee,Deer Run,3035.0,650.0,836.0,397.0,1.0,1884.0,1884.0
Cherokee,Dixie,5733.0,707.0,1649.0,783.0,0.0,3139.0,3139.0
Cherokee,Freehome,5790.0,761.0,2372.0,907.0,0.0,4040.0,4040.0
Cherokee,Hickory Flat,7334.0,857.0,2958.0,1001.0,1.0,4817.0,4817.0
Cherokee,Hightower,3483.0,510.0,1497.0,459.0,0.0,2466.0,2466.0
Cherokee,Hillside,3155.0,410.0,1230.0,482.0,0.0,2122.0,2122.0
Cherokee,Holly Springs,3262.0,516.0,1008.0,345.0,1.0,1870.0,1870.0
Cherokee,Kellogg,5482.0,883.0,1509.0,627.0,2.0,3021.0,3021.0
Cherokee,Liberty,8350.0,938.0,2898.0,1053.0,0.0,4889.0,4889.0
Cherokee,Little River,7480.0,782.0,2290.0,1492.0,1.0,4565.0,4565.0
Cherokee,Macedonia,4853.0,702.0,2053.0,705.0,0.0,3460.0,3460.0
Cherokee,Mountain Road,3078.0,624.0,1019.0,422.0,1.0,2066.0,2066.0
Cherokee,Neese,7642.0,904.0,2301.0,1140.0,1.0,4346.0,4346.0
Cherokee,Oak Grove,3749.0,641.0,1028.0,493.0,0.0,2162.0,2162.0
Cherokee,R M Moore,3468.0,691.0,1241.0,418.0,0.0,2350.0,2350.0
Cherokee,R T Jones,2525.0,239.0,790.0,249.0,1.0,1279.0,1279.0
Cherokee,Rosecreek,3748.0,572.0,1347.0,508.0,0.0,2427.0,2427.0
Cherokee,Salacoa,727.0,273.0,131.0,67.0,0.0,471.0,471.0
Cherokee,Sixes,3101.0,465.0,1120.0,487.0,0.0,2072.0,2072.0
Cherokee,Sutallee,2540.0,731.0,810.0,284.0,1.0,1826.0,1826.0
Cherokee,Teasley,7981.0,1244.0,2953.0,951.0,0.0,5148.0,5148.0
Cherokee,Toonigh,6641.0,789.0,2507.0,877.0,0.0,4173.0,4173.0
Cherokee,Union Hill,4207.0,858.0,1541.0,607.0,2.0,3008.0,3008.0
Cherokee,Univeter,5434.0,625.0,2208.0,680.0,0.0,3513.0,3513.0
Cherokee,Victoria,3132.0,615.0,1001.0,354.0,0.0,1970.0,1970.0
Cherokee,Waleska,2875.0,595.0,826.0,466.0,0.0,1887.0,1887.0
Cherokee,Wildcat,3215.0,565.0,1142.0,319.0,0.0,2026.0,2026.0
Cherokee,Woodlands,3456.0,753.0,851.0,486.0,0.0,2090.0,2090.0
Cherokee,Woodstock,7345.0,827.0,2211.0,943.0,2.0,3983.0,3983.0
