County,Precinct,Registered Voters,B. Alison Sosebee (I) (Rep)_Election Day Votes,B. Alison Sosebee (I) (Rep)_Advanced Voting Votes,B. Alison Sosebee (I) (Rep)_Absentee by Mail Votes,B. Alison Sosebee (I) (Rep)_Provisional Votes,B. Alison Sosebee (I) (Rep)_Choice Total,Total Votes
Gilmer,Ellijay South,3172.0,391.0,1163.0,390.0,2.0,1946.0,1946.0
Gilmer,Cartecay,1598.0,402.0,474.0,200.0,2.0,1078.0,1078.0
Gilmer,Tails Creek,1782.0,459.0,470.0,146.0,0.0,1075.0,1075.0
Gilmer,Town Creek,1234.0,317.0,334.0,107.0,0.0,758.0,758.0
Gilmer,Leaches,2939.0,544.0,976.0,341.0,2.0,1863.0,1863.0
Gilmer,Cherry Log,926.0,268.0,239.0,119.0,0.0,626.0,626.0
Gilmer,Boardtown,1391.0,305.0,508.0,209.0,3.0,1025.0,1025.0
Gilmer,Mountaintown,1139.0,277.0,365.0,132.0,1.0,775.0,775.0
Gilmer,East Ellijay,1655.0,246.0,639.0,221.0,0.0,1106.0,1106.0
Gilmer,Ellijay North,1810.0,289.0,605.0,201.0,1.0,1096.0,1096.0
Gilmer,Yukon,1288.0,357.0,359.0,122.0,0.0,838.0,838.0
Gilmer,Big Creek,1479.0,372.0,409.0,194.0,0.0,975.0,975.0
Gilmer,Ellijay Northeast,1851.0,237.0,715.0,223.0,0.0,1175.0,1175.0
Pickens,Yellow Creek,3571.0,820.0,1034.0,394.0,0.0,2248.0,2248.0
Pickens,Sharptop,2616.0,606.0,747.0,383.0,0.0,1736.0,1736.0
Pickens,Appalachian,1933.0,416.0,631.0,174.0,0.0,1221.0,1221.0
Pickens,Refuge,2490.0,568.0,796.0,210.0,0.0,1574.0,1574.0
Pickens,Hill,2042.0,556.0,618.0,182.0,2.0,1358.0,1358.0
Pickens,Hinton,825.0,311.0,147.0,34.0,0.0,492.0,492.0
Pickens,Jerusalem,1145.0,504.0,200.0,71.0,0.0,775.0,775.0
Pickens,Ludville,721.0,308.0,95.0,35.0,0.0,438.0,438.0
Pickens,Nelson,1474.0,438.0,384.0,105.0,0.0,927.0,927.0
Pickens,Talking Rock,1781.0,465.0,487.0,152.0,3.0,1107.0,1107.0
Pickens,Jasper,2517.0,487.0,693.0,195.0,1.0,1376.0,1376.0
Pickens,Tate,2651.0,681.0,815.0,224.0,1.0,1721.0,1721.0
Fannin,Colwell,1105.0,282.0,325.0,153.0,0.0,760.0,760.0
Fannin,Fairplay,1262.0,319.0,328.0,141.0,0.0,788.0,788.0
Fannin,Flinthill,3202.0,679.0,841.0,401.0,1.0,1922.0,1922.0
Fannin,Hemptown,1336.0,352.0,362.0,143.0,3.0,860.0,860.0
Fannin,Hothouse,1290.0,271.0,398.0,164.0,7.0,840.0,840.0
Fannin,Mineral Bluff,1817.0,350.0,602.0,259.0,0.0,1211.0,1211.0
Fannin,Mobile,1160.0,314.0,302.0,147.0,0.0,763.0,763.0
Fannin,Morganton,2067.0,475.0,613.0,266.0,2.0,1356.0,1356.0
Fannin,Noontootla,839.0,185.0,244.0,161.0,0.0,590.0,590.0
Fannin,Skeniah,331.0,119.0,64.0,48.0,2.0,233.0,233.0
Fannin,Sugar Creek,2437.0,393.0,857.0,320.0,1.0,1571.0,1571.0
Fannin,Toccoa,3553.0,500.0,1196.0,493.0,4.0,2193.0,2193.0
