County,Precinct,Registered Voters,Leigh E. Patterson (I) (Rep)_Election Day Votes,Leigh E. Patterson (I) (Rep)_Advanced Voting Votes,Leigh E. Patterson (I) (Rep)_Absentee by Mail Votes,Leigh E. Patterson (I) (Rep)_Provisional Votes,Leigh E. Patterson (I) (Rep)_Choice Total,Total Votes
Floyd,Alto Park,3360.0,380.0,1097.0,406.0,9.0,1892.0,1892.0
Floyd,Armuchee,1269.0,288.0,378.0,125.0,1.0,792.0,792.0
Floyd,Barkers,2355.0,417.0,820.0,218.0,10.0,1465.0,1465.0
Floyd,Cave Spring,1617.0,457.0,319.0,170.0,5.0,951.0,951.0
Floyd,Chulio,1155.0,294.0,307.0,117.0,19.0,737.0,737.0
Floyd,Etowah,4946.0,628.0,1706.0,529.0,9.0,2872.0,2872.0
Floyd,Everett Springs,421.0,181.0,69.0,39.0,1.0,290.0,290.0
Floyd,Floyd Springs,1666.0,414.0,562.0,162.0,40.0,1178.0,1178.0
Floyd,Fosters Mill,971.0,288.0,262.0,76.0,0.0,626.0,626.0
Floyd,Garden Lakes,2261.0,268.0,687.0,249.0,0.0,1204.0,1204.0
Floyd,Glenwood,3635.0,564.0,1057.0,366.0,1.0,1988.0,1988.0
Floyd,Howell,1492.0,419.0,398.0,137.0,11.0,965.0,965.0
Floyd,East Lindale,3398.0,490.0,1009.0,352.0,1.0,1852.0,1852.0
Floyd,Mt Alto North,5096.0,413.0,1512.0,510.0,4.0,2439.0,2439.0
Floyd,Mt Alto South,3923.0,435.0,1085.0,400.0,6.0,1926.0,1926.0
Floyd,North Carolina,1865.0,293.0,578.0,157.0,7.0,1035.0,1035.0
Floyd,Riverside,826.0,168.0,222.0,63.0,5.0,458.0,458.0
Floyd,East Rome,4238.0,368.0,969.0,435.0,6.0,1778.0,1778.0
Floyd,North Rome,3369.0,232.0,709.0,471.0,7.0,1419.0,1419.0
Floyd,South Rome,1600.0,116.0,213.0,139.0,2.0,470.0,470.0
Floyd,Texas Valley,762.0,264.0,205.0,76.0,12.0,557.0,557.0
Floyd,Vanns Valley,896.0,159.0,197.0,97.0,2.0,455.0,455.0
Floyd,Watters,3566.0,702.0,1106.0,322.0,16.0,2146.0,2146.0
Floyd,West Lindale,2929.0,519.0,779.0,250.0,0.0,1548.0,1548.0
Floyd,Town Rome,3034.0,251.0,716.0,346.0,2.0,1315.0,1315.0
