County,Precinct,Registered Voters,Marjorie Taylor Greene (Rep)_Election Day Votes,Marjorie Taylor Greene (Rep)_Advanced Voting Votes,Marjorie Taylor Greene (Rep)_Absentee by Mail Votes,Marjorie Taylor Greene (Rep)_Provisional Votes,Marjorie Taylor Greene (Rep)_Choice Total,Kevin Van Ausdal (Dem)_Election Day Votes,Kevin Van Ausdal (Dem)_Advanced Voting Votes,Kevin Van Ausdal (Dem)_Absentee by Mail Votes,Kevin Van Ausdal (Dem)_Provisional Votes,Kevin Van Ausdal (Dem)_Choice Total,Total Votes,"Earl L. """"Buddy"""" Carter (I) (Rep)_Election Day Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Advanced Voting Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Absentee by Mail Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Provisional Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Choice Total",Joyce Marie Griggs (Dem)_Election Day Votes,Joyce Marie Griggs (Dem)_Advanced Voting Votes,Joyce Marie Griggs (Dem)_Absentee by Mail Votes,Joyce Marie Griggs (Dem)_Provisional Votes,Joyce Marie Griggs (Dem)_Choice Total,Becky E. Hites (Rep)_Election Day Votes,Becky E. Hites (Rep)_Advanced Voting Votes,Becky E. Hites (Rep)_Absentee by Mail Votes,Becky E. Hites (Rep)_Provisional Votes,Becky E. Hites (Rep)_Choice Total,David Scott (I) (Dem)_Election Day Votes,David Scott (I) (Dem)_Advanced Voting Votes,David Scott (I) (Dem)_Absentee by Mail Votes,David Scott (I) (Dem)_Provisional Votes,David Scott (I) (Dem)_Choice Total,Barry Loudermilk (I) (Rep)_Election Day Votes,Barry Loudermilk (I) (Rep)_Advanced Voting Votes,Barry Loudermilk (I) (Rep)_Absentee by Mail Votes,Barry Loudermilk (I) (Rep)_Provisional Votes,Barry Loudermilk (I) (Rep)_Choice Total,Dana Barrett (Dem)_Election Day Votes,Dana Barrett (Dem)_Advanced Voting Votes,Dana Barrett (Dem)_Absentee by Mail Votes,Dana Barrett (Dem)_Provisional Votes,Dana Barrett (Dem)_Choice Total,Rick W. Allen (I) (Rep)_Election Day Votes,Rick W. Allen (I) (Rep)_Advanced Voting Votes,Rick W. Allen (I) (Rep)_Absentee by Mail Votes,Rick W. Allen (I) (Rep)_Provisional Votes,Rick W. Allen (I) (Rep)_Choice Total,Liz Johnson (Dem)_Election Day Votes,Liz Johnson (Dem)_Advanced Voting Votes,Liz Johnson (Dem)_Absentee by Mail Votes,Liz Johnson (Dem)_Provisional Votes,Liz Johnson (Dem)_Choice Total,Jody Hice (I) (Rep)_Election Day Votes,Jody Hice (I) (Rep)_Advanced Voting Votes,Jody Hice (I) (Rep)_Absentee by Mail Votes,Jody Hice (I) (Rep)_Provisional Votes,Jody Hice (I) (Rep)_Choice Total,Tabitha Johnson-Green (Dem)_Election Day Votes,Tabitha Johnson-Green (Dem)_Advanced Voting Votes,Tabitha Johnson-Green (Dem)_Absentee by Mail Votes,Tabitha Johnson-Green (Dem)_Provisional Votes,Tabitha Johnson-Green (Dem)_Choice Total
Floyd,Mt Alto North,5096.0,229.0,1077.0,310.0,0.0,1616.0,261.0,672.0,390.0,5.0,1328.0,2944.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Floyd,Mt Alto South,3923.0,292.0,790.0,227.0,6.0,1315.0,240.0,482.0,271.0,1.0,994.0,2309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Floyd,North Carolina,1865.0,269.0,507.0,123.0,2.0,901.0,39.0,99.0,63.0,4.0,205.0,1106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Floyd,Riverside,826.0,145.0,186.0,42.0,5.0,378.0,45.0,60.0,25.0,0.0,130.0,508.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Floyd,East Rome,4238.0,261.0,624.0,231.0,4.0,1120.0,179.0,536.0,333.0,2.0,1050.0,2170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Floyd,North Rome,3369.0,145.0,509.0,252.0,4.0,910.0,153.0,327.0,368.0,3.0,851.0,1761.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Floyd,South Rome,1600.0,46.0,95.0,48.0,1.0,190.0,135.0,195.0,184.0,1.0,515.0,705.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Floyd,Texas Valley,762.0,250.0,190.0,59.0,14.0,513.0,23.0,32.0,31.0,0.0,86.0,599.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Floyd,Vanns Valley,896.0,135.0,164.0,80.0,3.0,382.0,37.0,46.0,23.0,0.0,106.0,488.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Floyd,Watters,3566.0,633.0,998.0,273.0,14.0,1918.0,99.0,158.0,119.0,6.0,382.0,2300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Floyd,West Lindale,2929.0,464.0,680.0,195.0,0.0,1339.0,95.0,146.0,117.0,0.0,358.0,1697.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Floyd,Town Rome,3034.0,174.0,526.0,183.0,0.0,883.0,126.0,308.0,254.0,2.0,690.0,1573.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wayne,Odum,1260.0,,,,,,,,,,,975.0,302.0,504.0,92.0,0.0,898.0,14.0,31.0,32.0,0.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wayne,Madray Springs,1176.0,,,,,,,,,,,898.0,173.0,535.0,127.0,1.0,836.0,12.0,25.0,25.0,0.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wayne,Oglethorpe,1741.0,,,,,,,,,,,1245.0,227.0,721.0,149.0,0.0,1097.0,21.0,80.0,47.0,0.0,148.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wayne,Screven,1849.0,,,,,,,,,,,1353.0,455.0,595.0,125.0,2.0,1177.0,54.0,73.0,49.0,0.0,176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wayne,Empire,1106.0,,,,,,,,,,,856.0,182.0,512.0,90.0,0.0,784.0,13.0,36.0,23.0,0.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wayne,Red Hill,1036.0,,,,,,,,,,,688.0,133.0,349.0,80.0,0.0,562.0,19.0,71.0,36.0,0.0,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wayne,Altamaha,2857.0,,,,,,,,,,,1755.0,221.0,958.0,181.0,3.0,1363.0,66.0,229.0,97.0,0.0,392.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wayne,Gardi,1123.0,,,,,,,,,,,804.0,282.0,339.0,110.0,2.0,733.0,18.0,23.0,30.0,0.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wayne,VFW,1145.0,,,,,,,,,,,650.0,20.0,100.0,37.0,0.0,157.0,81.0,280.0,131.0,1.0,493.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wayne,Pine Street,1140.0,,,,,,,,,,,714.0,58.0,262.0,73.0,0.0,393.0,65.0,188.0,68.0,0.0,321.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wayne,Unity,1905.0,,,,,,,,,,,1309.0,177.0,616.0,172.0,0.0,965.0,57.0,188.0,99.0,0.0,344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wayne,Rec Center,1766.0,,,,,,,,,,,1240.0,214.0,617.0,141.0,0.0,972.0,33.0,169.0,66.0,0.0,268.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,CH01,376.0,,,,,,,,,,,208.0,,,,,,,,,,,13.0,25.0,15.0,1.0,54.0,9.0,104.0,38.0,3.0,154.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,CH02,338.0,,,,,,,,,,,244.0,,,,,,,,,,,35.0,78.0,34.0,0.0,147.0,13.0,51.0,33.0,0.0,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,CH03,410.0,,,,,,,,,,,299.0,,,,,,,,,,,50.0,116.0,31.0,0.0,197.0,14.0,62.0,26.0,0.0,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,CH04A,825.0,,,,,,,,,,,653.0,,,,,,,,,,,42.0,218.0,65.0,0.0,325.0,18.0,214.0,96.0,0.0,328.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,CH05,429.0,,,,,,,,,,,318.0,,,,,,,,,,,43.0,131.0,44.0,0.0,218.0,10.0,50.0,40.0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,CP06A,732.0,,,,,,,,,,,224.0,,,,,,,,,,,5.0,9.0,1.0,0.0,15.0,48.0,121.0,40.0,0.0,209.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,CP081,373.0,,,,,,,,,,,111.0,,,,,,,,,,,3.0,1.0,1.0,0.0,5.0,32.0,54.0,15.0,5.0,106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,CP083,240.0,,,,,,,,,,,35.0,,,,,,,,,,,2.0,0.0,0.0,0.0,2.0,11.0,19.0,3.0,0.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,CP084,1.0,,,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,CP08A,756.0,,,,,,,,,,,176.0,,,,,,,,,,,8.0,2.0,0.0,0.0,10.0,55.0,83.0,28.0,0.0,166.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,EP04B,2624.0,,,,,,,,,,,1528.0,,,,,,,,,,,11.0,26.0,8.0,0.0,45.0,144.0,1059.0,277.0,3.0,1483.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,EP04C,1318.0,,,,,,,,,,,450.0,,,,,,,,,,,0.0,13.0,1.0,1.0,15.0,0.0,394.0,40.0,1.0,435.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,FA01A,4032.0,,,,,,,,,,,2495.0,,,,,,,,,,,41.0,152.0,70.0,1.0,264.0,224.0,1394.0,597.0,16.0,2231.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,FA01B,5860.0,,,,,,,,,,,3388.0,,,,,,,,,,,4.0,226.0,88.0,0.0,318.0,26.0,2204.0,832.0,8.0,3070.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,FA01C,769.0,,,,,,,,,,,474.0,,,,,,,,,,,6.0,15.0,6.0,0.0,27.0,59.0,285.0,102.0,1.0,447.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,FA01D,321.0,,,,,,,,,,,171.0,,,,,,,,,,,2.0,9.0,2.0,2.0,15.0,18.0,119.0,6.0,13.0,156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,PA01,3006.0,,,,,,,,,,,1769.0,,,,,,,,,,,49.0,217.0,117.0,6.0,389.0,178.0,856.0,335.0,11.0,1380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,SC04,1080.0,,,,,,,,,,,727.0,,,,,,,,,,,53.0,106.0,37.0,2.0,198.0,64.0,320.0,143.0,2.0,529.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,SC05A,721.0,,,,,,,,,,,466.0,,,,,,,,,,,1.0,5.0,3.0,0.0,9.0,53.0,314.0,86.0,4.0,457.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,SC05B,3646.0,,,,,,,,,,,2521.0,,,,,,,,,,,16.0,41.0,21.0,1.0,79.0,176.0,1766.0,493.0,7.0,2442.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,SC05D,2808.0,,,,,,,,,,,1896.0,,,,,,,,,,,16.0,45.0,14.0,0.0,75.0,175.0,1284.0,360.0,2.0,1821.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,SC05E,688.0,,,,,,,,,,,477.0,,,,,,,,,,,6.0,33.0,30.0,0.0,69.0,40.0,247.0,118.0,3.0,408.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,SC07A,4506.0,,,,,,,,,,,3384.0,,,,,,,,,,,34.0,215.0,87.0,0.0,336.0,231.0,1785.0,1021.0,11.0,3048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,SC07C,41.0,,,,,,,,,,,13.0,,,,,,,,,,,0.0,1.0,1.0,0.0,2.0,1.0,8.0,2.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,SC07D,2038.0,,,,,,,,,,,1112.0,,,,,,,,,,,8.0,35.0,4.0,1.0,48.0,131.0,842.0,89.0,2.0,1064.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,SC08B,4096.0,,,,,,,,,,,2547.0,,,,,,,,,,,24.0,48.0,23.0,1.0,96.0,258.0,1531.0,649.0,13.0,2451.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,SC08C,91.0,,,,,,,,,,,70.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,6.0,47.0,17.0,0.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,SC08D,605.0,,,,,,,,,,,356.0,,,,,,,,,,,1.0,1.0,3.0,0.0,5.0,38.0,235.0,78.0,0.0,351.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,SC08E,724.0,,,,,,,,,,,436.0,,,,,,,,,,,1.0,8.0,2.0,0.0,11.0,57.0,300.0,64.0,4.0,425.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,SC08F,793.0,,,,,,,,,,,435.0,,,,,,,,,,,5.0,6.0,1.0,0.0,12.0,39.0,283.0,101.0,0.0,423.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,SC08G,14.0,,,,,,,,,,,3.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,SC08H,1.0,,,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,SC09A,1865.0,,,,,,,,,,,977.0,,,,,,,,,,,8.0,19.0,8.0,1.0,36.0,176.0,530.0,231.0,4.0,941.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,SC09B,1920.0,,,,,,,,,,,1240.0,,,,,,,,,,,9.0,16.0,4.0,0.0,29.0,120.0,722.0,367.0,2.0,1211.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,SC09C,1852.0,,,,,,,,,,,1049.0,,,,,,,,,,,10.0,20.0,10.0,0.0,40.0,181.0,532.0,296.0,0.0,1009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,SC10,1912.0,,,,,,,,,,,792.0,,,,,,,,,,,6.0,12.0,11.0,0.0,29.0,153.0,423.0,182.0,5.0,763.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,SC11A,1656.0,,,,,,,,,,,991.0,,,,,,,,,,,11.0,20.0,7.0,1.0,39.0,137.0,533.0,263.0,19.0,952.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,SC11B,1691.0,,,,,,,,,,,1000.0,,,,,,,,,,,7.0,17.0,9.0,0.0,33.0,113.0,535.0,317.0,2.0,967.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,SC13,2895.0,,,,,,,,,,,2011.0,,,,,,,,,,,17.0,69.0,14.0,2.0,102.0,159.0,1323.0,424.0,3.0,1909.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,SC15,4522.0,,,,,,,,,,,3214.0,,,,,,,,,,,17.0,72.0,42.0,0.0,131.0,268.0,1983.0,826.0,6.0,3083.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,SC15A,2482.0,,,,,,,,,,,1561.0,,,,,,,,,,,6.0,15.0,4.0,0.0,25.0,130.0,1299.0,107.0,0.0,1536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,SC17A,60.0,,,,,,,,,,,44.0,,,,,,,,,,,0.0,0.0,1.0,0.0,1.0,1.0,32.0,10.0,0.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,SC17B,10.0,,,,,,,,,,,5.0,,,,,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,SC17C,1293.0,,,,,,,,,,,785.0,,,,,,,,,,,13.0,14.0,7.0,0.0,34.0,65.0,499.0,187.0,0.0,751.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,SC18B,915.0,,,,,,,,,,,671.0,,,,,,,,,,,2.0,11.0,5.0,0.0,18.0,38.0,454.0,161.0,0.0,653.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,SC18C,2100.0,,,,,,,,,,,1549.0,,,,,,,,,,,6.0,40.0,19.0,0.0,65.0,74.0,994.0,416.0,0.0,1484.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,SC19A,213.0,,,,,,,,,,,141.0,,,,,,,,,,,2.0,2.0,4.0,0.0,8.0,4.0,85.0,43.0,1.0,133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,SC19B,1628.0,,,,,,,,,,,822.0,,,,,,,,,,,3.0,14.0,8.0,0.0,25.0,135.0,433.0,219.0,10.0,797.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,SC20,2562.0,,,,,,,,,,,2012.0,,,,,,,,,,,6.0,38.0,6.0,4.0,54.0,107.0,1464.0,363.0,24.0,1958.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,SC211,1828.0,,,,,,,,,,,1262.0,,,,,,,,,,,9.0,27.0,16.0,0.0,52.0,99.0,817.0,294.0,0.0,1210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,SC212,4244.0,,,,,,,,,,,2696.0,,,,,,,,,,,18.0,74.0,39.0,1.0,132.0,249.0,1704.0,600.0,11.0,2564.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,SC23A,3854.0,,,,,,,,,,,2158.0,,,,,,,,,,,26.0,30.0,14.0,0.0,70.0,322.0,1118.0,637.0,11.0,2088.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,SC23B,558.0,,,,,,,,,,,347.0,,,,,,,,,,,4.0,6.0,8.0,0.0,18.0,52.0,165.0,110.0,2.0,329.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,SC23C,2606.0,,,,,,,,,,,1525.0,,,,,,,,,,,18.0,26.0,8.0,0.0,52.0,199.0,871.0,401.0,2.0,1473.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,SC27,2361.0,,,,,,,,,,,1391.0,,,,,,,,,,,10.0,16.0,13.0,0.0,39.0,148.0,732.0,472.0,0.0,1352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,SC29A,3154.0,,,,,,,,,,,1824.0,,,,,,,,,,,9.0,41.0,11.0,0.0,61.0,273.0,932.0,549.0,9.0,1763.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,UC01A,4234.0,,,,,,,,,,,1964.0,,,,,,,,,,,20.0,57.0,18.0,0.0,95.0,319.0,1195.0,343.0,12.0,1869.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,UC01B,428.0,,,,,,,,,,,225.0,,,,,,,,,,,3.0,4.0,0.0,2.0,9.0,44.0,139.0,29.0,4.0,216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,UC01D,6.0,,,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,UC01E,512.0,,,,,,,,,,,386.0,,,,,,,,,,,1.0,8.0,3.0,0.0,12.0,40.0,263.0,71.0,0.0,374.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,UC02A,5609.0,,,,,,,,,,,3783.0,,,,,,,,,,,21.0,65.0,44.0,1.0,131.0,316.0,2181.0,1140.0,15.0,3652.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton,UC02B,32.0,,,,,,,,,,,20.0,,,,,,,,,,,1.0,5.0,0.0,0.0,6.0,2.0,9.0,3.0,0.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
