County,Precinct,Registered Voters,Jody Hice (I) (Rep)_Election Day Votes,Jody Hice (I) (Rep)_Advanced Voting Votes,Jody Hice (I) (Rep)_Absentee by Mail Votes,Jody Hice (I) (Rep)_Provisional Votes,Jody Hice (I) (Rep)_Choice Total,Tabitha Johnson-Green (Dem)_Election Day Votes,Tabitha Johnson-Green (Dem)_Advanced Voting Votes,Tabitha Johnson-Green (Dem)_Absentee by Mail Votes,Tabitha Johnson-Green (Dem)_Provisional Votes,Tabitha Johnson-Green (Dem)_Choice Total,Total Votes
Lincoln,Midway,587.0,98.0,163.0,45.0,0.0,306.0,32.0,29.0,65.0,0.0,126.0,432.0
Lincoln,Lincoln Club House,799.0,62.0,135.0,28.0,0.0,225.0,57.0,108.0,154.0,2.0,321.0,546.0
Lincoln,Lincoln Center,1489.0,172.0,562.0,133.0,0.0,867.0,49.0,98.0,89.0,0.0,236.0,1103.0
Lincoln,Faith Temple of Lincoln,489.0,77.0,118.0,28.0,0.0,223.0,21.0,52.0,53.0,0.0,126.0,349.0
Lincoln,Tabernacle,1003.0,130.0,235.0,51.0,0.0,416.0,56.0,103.0,139.0,0.0,298.0,714.0
Lincoln,Bethany Church,575.0,116.0,173.0,56.0,0.0,345.0,8.0,30.0,25.0,0.0,63.0,408.0
Lincoln,Martins Crossroad,1234.0,244.0,446.0,98.0,1.0,789.0,25.0,69.0,80.0,0.0,174.0,963.0
Wilkes,Senior Citizen Center,1552.0,59.0,263.0,72.0,2.0,396.0,139.0,284.0,211.0,3.0,637.0,1033.0
Wilkes,Young Farmers Bldg,1173.0,127.0,448.0,149.0,1.0,725.0,40.0,89.0,62.0,0.0,191.0,916.0
Wilkes,Metasville Fire Sta,610.0,107.0,165.0,51.0,0.0,323.0,25.0,35.0,64.0,0.0,124.0,447.0
Wilkes,Edward B Pope Center,1017.0,42.0,115.0,35.0,0.0,192.0,129.0,201.0,119.0,0.0,449.0,641.0
Wilkes,Rayle City Hall,570.0,130.0,114.0,35.0,1.0,280.0,42.0,39.0,51.0,0.0,132.0,412.0
Wilkes,Courthouse,1001.0,80.0,332.0,84.0,0.0,496.0,37.0,118.0,90.0,0.0,245.0,741.0
Wilkes,Tignal Sch Lunch Rm,896.0,166.0,201.0,58.0,0.0,425.0,58.0,63.0,116.0,0.0,237.0,662.0
Washington,Riddleville,561.0,134.0,99.0,40.0,0.0,273.0,42.0,34.0,68.0,1.0,145.0,418.0
Washington,Warthen,742.0,163.0,100.0,58.0,0.0,321.0,80.0,58.0,89.0,1.0,228.0,549.0
Washington,Tennille,2512.0,159.0,430.0,106.0,0.0,695.0,244.0,435.0,300.0,3.0,982.0,1677.0
