County,Precinct,Registered Voters,Austin Scott (I) (Rep)_Election Day Votes,Austin Scott (I) (Rep)_Advanced Voting Votes,Austin Scott (I) (Rep)_Absentee by Mail Votes,Austin Scott (I) (Rep)_Provisional Votes,Austin Scott (I) (Rep)_Choice Total,Lindsay Holliday (Dem)_Election Day Votes,Lindsay Holliday (Dem)_Advanced Voting Votes,Lindsay Holliday (Dem)_Absentee by Mail Votes,Lindsay Holliday (Dem)_Provisional Votes,Lindsay Holliday (Dem)_Choice Total,Total Votes
Turner,Ashburn,3509.0,159.0,840.0,146.0,0.0,1145.0,263.0,580.0,224.0,1.0,1068.0,2213.0
Turner,Sycamore,1609.0,125.0,826.0,82.0,1.0,1034.0,26.0,81.0,27.0,0.0,134.0,1168.0
Turner,Rebecca,464.0,113.0,150.0,26.0,0.0,289.0,12.0,15.0,15.0,0.0,42.0,331.0
Jones,Gray,0.0,252.0,1111.0,220.0,0.0,1583.0,44.0,266.0,161.0,0.0,471.0,2054.0
Jones,Hawkins,0.0,247.0,513.0,129.0,0.0,889.0,192.0,634.0,487.0,0.0,1313.0,2202.0
Jones,Ethridge,0.0,176.0,533.0,123.0,0.0,832.0,75.0,197.0,131.0,0.0,403.0,1235.0
Jones,Clinton,0.0,288.0,844.0,180.0,2.0,1314.0,58.0,237.0,150.0,0.0,445.0,1759.0
Jones,Roberts,0.0,436.0,569.0,183.0,0.0,1188.0,127.0,280.0,179.0,1.0,587.0,1775.0
Jones,Davidson,0.0,356.0,488.0,104.0,1.0,949.0,40.0,81.0,54.0,0.0,175.0,1124.0
Jones,Pope,0.0,305.0,509.0,106.0,1.0,921.0,112.0,179.0,124.0,0.0,415.0,1336.0
Jones,Barron,0.0,271.0,379.0,95.0,0.0,745.0,65.0,104.0,96.0,0.0,265.0,1010.0
Jones,Sanders,0.0,93.0,12.0,10.0,0.0,115.0,12.0,5.0,8.0,0.0,25.0,140.0
Jones,Finney,0.0,584.0,705.0,205.0,1.0,1495.0,81.0,234.0,189.0,0.0,504.0,1999.0
Berrien,West Berrien,999.0,330.0,269.0,88.0,1.0,688.0,18.0,28.0,22.0,0.0,68.0,756.0
Berrien,Ray City,1946.0,327.0,582.0,135.0,1.0,1045.0,74.0,77.0,59.0,0.0,210.0,1255.0
Berrien,Nashville,6079.0,553.0,2410.0,409.0,2.0,3374.0,98.0,331.0,173.0,1.0,603.0,3977.0
Berrien,Enigma,1111.0,315.0,236.0,75.0,4.0,630.0,38.0,21.0,21.0,0.0,80.0,710.0
Berrien,Alapaha,1140.0,284.0,260.0,67.0,1.0,612.0,79.0,69.0,38.0,0.0,186.0,798.0
Colquitt,Shaw,3487.0,77.0,280.0,79.0,0.0,436.0,337.0,418.0,307.0,0.0,1062.0,1498.0
Colquitt,Moultrie,4809.0,346.0,1182.0,321.0,0.0,1849.0,213.0,530.0,305.0,1.0,1049.0,2898.0
Colquitt,Autreyville,1512.0,260.0,405.0,74.0,2.0,741.0,45.0,98.0,46.0,0.0,189.0,930.0
Colquitt,Bridgecreek,1191.0,269.0,438.0,83.0,2.0,792.0,21.0,37.0,31.0,0.0,89.0,881.0
Colquitt,Crosland,289.0,85.0,32.0,17.0,0.0,134.0,20.0,15.0,8.0,1.0,44.0,178.0
Colquitt,Doerun,619.0,150.0,122.0,22.0,0.0,294.0,69.0,29.0,27.0,0.0,125.0,419.0
Colquitt,Funston,1030.0,277.0,267.0,67.0,3.0,614.0,29.0,44.0,27.0,0.0,100.0,714.0
Colquitt,Hamilton,784.0,266.0,198.0,45.0,0.0,509.0,14.0,25.0,13.0,0.0,52.0,561.0
Colquitt,Hartsfield,408.0,170.0,85.0,39.0,1.0,295.0,6.0,7.0,7.0,0.0,20.0,315.0
Colquitt,Hopewell,1670.0,267.0,601.0,115.0,2.0,985.0,34.0,84.0,44.0,1.0,163.0,1148.0
Colquitt,Lee,1094.0,210.0,279.0,73.0,0.0,562.0,28.0,49.0,22.0,0.0,99.0,661.0
Colquitt,Millcreek,422.0,112.0,132.0,39.0,0.0,283.0,5.0,10.0,8.0,0.0,23.0,306.0
Colquitt,Monk,1555.0,343.0,443.0,93.0,0.0,879.0,31.0,71.0,57.0,0.0,159.0,1038.0
Colquitt,Murphy,973.0,192.0,427.0,59.0,0.0,678.0,11.0,44.0,27.0,0.0,82.0,760.0
Colquitt,Norman Park,2586.0,401.0,679.0,152.0,0.0,1232.0,87.0,145.0,114.0,0.0,346.0,1578.0
Colquitt,Robinson,860.0,228.0,200.0,51.0,0.0,479.0,35.0,32.0,13.0,0.0,80.0,559.0
Colquitt,Thigpen,251.0,97.0,45.0,14.0,0.0,156.0,7.0,3.0,6.0,0.0,16.0,172.0
Colquitt,Tyty,543.0,221.0,74.0,32.0,0.0,327.0,14.0,10.0,6.0,0.0,30.0,357.0
Colquitt,Warrior,971.0,272.0,246.0,61.0,0.0,579.0,31.0,26.0,14.0,0.0,71.0,650.0
Wilcox,Rochelle North 1,558.0,25.0,50.0,14.0,0.0,89.0,92.0,88.0,39.0,0.0,219.0,308.0
Wilcox,Abbeville North 2,441.0,39.0,202.0,27.0,0.0,268.0,18.0,55.0,26.0,0.0,99.0,367.0
Wilcox,Pineview 2,630.0,124.0,109.0,33.0,0.0,266.0,85.0,51.0,42.0,0.0,178.0,444.0
Wilcox,Pitts 3,876.0,251.0,234.0,71.0,0.0,556.0,25.0,21.0,24.0,0.0,70.0,626.0
Wilcox,Rochelle South 4,1033.0,176.0,363.0,107.0,0.0,646.0,26.0,45.0,24.0,0.0,95.0,741.0
Wilcox,Abbeville South 5,1123.0,116.0,349.0,93.0,0.0,558.0,20.0,74.0,45.0,0.0,139.0,697.0
Pulaski,Courthouse Annex,5687.0,333.0,2148.0,322.0,1.0,2804.0,150.0,624.0,306.0,0.0,1080.0,3884.0
Twiggs,Dry Branch,1550.0,298.0,345.0,119.0,0.0,762.0,48.0,81.0,61.0,0.0,190.0,952.0
Twiggs,Golden Isles,1692.0,187.0,232.0,59.0,0.0,478.0,156.0,257.0,243.0,1.0,657.0,1135.0
Twiggs,Higgsville,758.0,151.0,184.0,56.0,0.0,391.0,33.0,71.0,44.0,0.0,148.0,539.0
Twiggs,Jeffersonville/Ware,1464.0,88.0,260.0,40.0,0.0,388.0,107.0,315.0,243.0,3.0,668.0,1056.0
Twiggs,Shady Grove/Tarvers,840.0,81.0,171.0,38.0,0.0,290.0,71.0,106.0,106.0,0.0,283.0,573.0
Bibb,Hazzard 2,4173.0,492.0,514.0,227.0,3.0,1236.0,379.0,781.0,403.0,2.0,1565.0,2801.0
Bibb,Hazzard 4,4745.0,232.0,625.0,240.0,1.0,1098.0,141.0,452.0,307.0,2.0,902.0,2000.0
Bibb,Howard 1,3436.0,302.0,715.0,407.0,0.0,1424.0,123.0,353.0,299.0,0.0,775.0,2199.0
Bibb,Howard 2,3394.0,417.0,919.0,444.0,0.0,1780.0,123.0,421.0,325.0,2.0,871.0,2651.0
Bibb,Howard 3,6397.0,580.0,1363.0,574.0,0.0,2517.0,339.0,1053.0,684.0,0.0,2076.0,4593.0
Bibb,Howard 4,1711.0,140.0,342.0,132.0,0.0,614.0,108.0,306.0,184.0,0.0,598.0,1212.0
Bibb,Howard 5,2272.0,179.0,263.0,103.0,0.0,545.0,220.0,456.0,203.0,2.0,881.0,1426.0
Bibb,Howard 6,2213.0,203.0,500.0,193.0,3.0,899.0,123.0,365.0,215.0,7.0,710.0,1609.0
Bibb,Howard 7,2897.0,388.0,794.0,309.0,0.0,1491.0,121.0,340.0,326.0,0.0,787.0,2278.0
Bibb,Vineville 5,2359.0,219.0,520.0,220.0,0.0,959.0,135.0,377.0,252.0,1.0,765.0,1724.0
Bibb,Vineville 6,3021.0,307.0,472.0,246.0,0.0,1025.0,184.0,487.0,400.0,1.0,1072.0,2097.0
Monroe,Bentons,2297.0,339.0,948.0,189.0,1.0,1477.0,46.0,192.0,121.0,0.0,359.0,1836.0
Monroe,Brantleys,1123.0,228.0,521.0,58.0,0.0,807.0,12.0,76.0,30.0,0.0,118.0,925.0
Monroe,Burgays,2268.0,432.0,925.0,191.0,3.0,1551.0,37.0,191.0,98.0,1.0,327.0,1878.0
