County,Precinct,Registered Voters,Anita Reynolds Howard (Dem)_Election Day Votes,Anita Reynolds Howard (Dem)_Advanced Voting Votes,Anita Reynolds Howard (Dem)_Absentee by Mail Votes,Anita Reynolds Howard (Dem)_Provisional Votes,Anita Reynolds Howard (Dem)_Choice Total,Total Votes
Bibb,East Macon 1,2108.0,242.0,373.0,333.0,6.0,954.0,954.0
Bibb,East Macon 2,3932.0,465.0,1013.0,759.0,7.0,2244.0,2244.0
Bibb,East Macon 3,3494.0,361.0,821.0,565.0,7.0,1754.0,1754.0
Bibb,East Macon 4,2280.0,361.0,514.0,455.0,5.0,1335.0,1335.0
Bibb,East Macon 5,2552.0,311.0,641.0,490.0,2.0,1444.0,1444.0
Bibb,Godfrey 1,6283.0,605.0,1482.0,998.0,6.0,3091.0,3091.0
Bibb,Godfrey 2,2158.0,222.0,360.0,261.0,1.0,844.0,844.0
Bibb,Godfrey 3,3292.0,400.0,738.0,456.0,6.0,1600.0,1600.0
Bibb,Godfrey 4,2231.0,256.0,350.0,273.0,2.0,881.0,881.0
Bibb,Godfrey 5,4761.0,662.0,1144.0,645.0,4.0,2455.0,2455.0
Bibb,Hazzard 1,3377.0,470.0,774.0,518.0,3.0,1765.0,1765.0
Bibb,Hazzard 2,4173.0,665.0,1060.0,484.0,5.0,2214.0,2214.0
Bibb,Hazzard 3,7068.0,690.0,1993.0,1115.0,14.0,3812.0,3812.0
Bibb,Hazzard 4,4745.0,576.0,1379.0,730.0,3.0,2688.0,2688.0
Bibb,Howard 1,3436.0,348.0,911.0,548.0,3.0,1810.0,1810.0
Bibb,Howard 2,3394.0,368.0,919.0,525.0,4.0,1816.0,1816.0
Bibb,Howard 3,6397.0,711.0,1811.0,950.0,4.0,3476.0,3476.0
Bibb,Howard 4,1711.0,197.0,481.0,243.0,1.0,922.0,922.0
Bibb,Howard 5,2272.0,350.0,596.0,241.0,4.0,1191.0,1191.0
Bibb,Howard 6,2213.0,250.0,635.0,299.0,8.0,1192.0,1192.0
Bibb,Howard 7,2897.0,361.0,777.0,453.0,3.0,1594.0,1594.0
Bibb,Rutland 1,5704.0,762.0,1491.0,725.0,3.0,2981.0,2981.0
Bibb,Rutland 2,3409.0,529.0,731.0,358.0,4.0,1622.0,1622.0
Bibb,Vineville 1,3572.0,363.0,844.0,552.0,4.0,1763.0,1763.0
Bibb,Vineville 2,2067.0,256.0,416.0,361.0,0.0,1033.0,1033.0
Bibb,Vineville 3,3127.0,328.0,781.0,537.0,5.0,1651.0,1651.0
Bibb,Vineville 4,4097.0,550.0,962.0,638.0,9.0,2159.0,2159.0
Bibb,Vineville 5,2359.0,264.0,642.0,339.0,2.0,1247.0,1247.0
Bibb,Vineville 6,3021.0,369.0,735.0,485.0,5.0,1594.0,1594.0
Bibb,Warrior 1,2617.0,458.0,543.0,313.0,2.0,1316.0,1316.0
Bibb,Warrior 2,3232.0,380.0,843.0,384.0,4.0,1611.0,1611.0
Crawford,District 1A,516.0,89.0,118.0,53.0,0.0,260.0,260.0
Crawford,District 1B,1025.0,80.0,370.0,121.0,1.0,572.0,572.0
Crawford,District 2,1659.0,143.0,557.0,230.0,1.0,931.0,931.0
Crawford,District 3,1738.0,150.0,509.0,103.0,0.0,762.0,762.0
Crawford,District 4,1805.0,232.0,407.0,139.0,0.0,778.0,778.0
Crawford,District 5,1769.0,242.0,400.0,134.0,0.0,776.0,776.0
Peach,Byron 1,2636.0,166.0,1016.0,207.0,1.0,1390.0,1390.0
Peach,Byron 2,5028.0,290.0,1777.0,533.0,3.0,2603.0,2603.0
Peach,Claude,908.0,122.0,227.0,54.0,0.0,403.0,403.0
Peach,Fort Valley 1,2669.0,228.0,863.0,339.0,0.0,1430.0,1430.0
Peach,Fort Valley 2,2670.0,213.0,757.0,316.0,1.0,1287.0,1287.0
Peach,Fort Valley 3,2720.0,223.0,796.0,473.0,2.0,1494.0,1494.0
Peach,Powersville,1365.0,120.0,416.0,135.0,1.0,672.0,672.0
