County,Precinct,Registered Voters,Lewis R. Lamb (I) (Ind)_Election Day Votes,Lewis R. Lamb (I) (Ind)_Advanced Voting Votes,Lewis R. Lamb (I) (Ind)_Absentee by Mail Votes,Lewis R. Lamb (I) (Ind)_Provisional Votes,Lewis R. Lamb (I) (Ind)_Choice Total,Total Votes
Webster,Preston 1,1705.0,221.0,544.0,244.0,0.0,1009.0,1009.0
Lee,Chokee,475.0,97.0,90.0,58.0,0.0,245.0,245.0
Lee,Redbone,4841.0,754.0,1846.0,385.0,3.0,2988.0,2988.0
Lee,Smithville,998.0,169.0,295.0,69.0,0.0,533.0,533.0
Lee,CJC,614.0,124.0,273.0,38.0,0.0,435.0,435.0
Lee,Leesburg,3313.0,460.0,1240.0,227.0,1.0,1928.0,1928.0
Lee,Friendship Baptist,1376.0,227.0,558.0,79.0,0.0,864.0,864.0
Lee,First Baptist,3921.0,575.0,1651.0,409.0,1.0,2636.0,2636.0
Lee,SDA Church,1576.0,297.0,615.0,133.0,0.0,1045.0,1045.0
Lee,Flint Reformed Baptist,2621.0,377.0,976.0,180.0,0.0,1533.0,1533.0
Lee,Century Fire Station,3162.0,407.0,1259.0,295.0,1.0,1962.0,1962.0
Sumter,Agri-Center,2059.0,176.0,762.0,221.0,0.0,1159.0,1159.0
Sumter,Airport,1767.0,180.0,687.0,226.0,0.0,1093.0,1093.0
Sumter,Andersonville,434.0,152.0,90.0,42.0,1.0,285.0,285.0
Sumter,Browns Mill,929.0,138.0,311.0,98.0,0.0,547.0,547.0
Sumter,Concord,376.0,119.0,82.0,28.0,7.0,236.0,236.0
Sumter,GSW Conf Center,3044.0,236.0,1096.0,396.0,2.0,1730.0,1730.0
Sumter,Leslie,1687.0,288.0,425.0,152.0,2.0,867.0,867.0
Sumter,Plains,1061.0,210.0,272.0,125.0,1.0,608.0,608.0
Sumter,Rec Dept,2667.0,257.0,721.0,384.0,0.0,1362.0,1362.0
Sumter,Reese Park,3064.0,237.0,743.0,384.0,0.0,1364.0,1364.0
Sumter,Thompson,712.0,118.0,140.0,74.0,1.0,333.0,333.0
Macon,Ideal,1399.0,134.0,349.0,77.0,0.0,560.0,560.0
Macon,Oglethorpe,1294.0,104.0,388.0,73.0,0.0,565.0,565.0
Macon,Marshallville,1344.0,229.0,255.0,98.0,0.0,582.0,582.0
Macon,Montezuma #4,1597.0,128.0,420.0,168.0,0.0,716.0,716.0
Macon,Montezuma #5,1357.0,140.0,299.0,148.0,0.0,587.0,587.0
Stewart,Richland,1256.0,151.0,264.0,130.0,3.0,548.0,548.0
Stewart,Louvale,286.0,62.0,43.0,31.0,1.0,137.0,137.0
Stewart,Lumpkin,1134.0,87.0,320.0,91.0,2.0,500.0,500.0
Stewart,Omaha,217.0,52.0,19.0,12.0,1.0,84.0,84.0
Schley,Precinct One,2882.0,310.0,1210.0,221.0,1.0,1742.0,1742.0
