index,County,Precinct,Registered Voters,Jason Shaw (I) (Rep)_Election Day Votes,Jason Shaw (I) (Rep)_Advanced Voting Votes,Jason Shaw (I) (Rep)_Absentee by Mail Votes,Jason Shaw (I) (Rep)_Provisional Votes,Jason Shaw (I) (Rep)_Choice Total,Robert G. Bryant (Dem)_Election Day Votes,Robert G. Bryant (Dem)_Advanced Voting Votes,Robert G. Bryant (Dem)_Absentee by Mail Votes,Robert G. Bryant (Dem)_Provisional Votes,Robert G. Bryant (Dem)_Choice Total,Elizabeth Melton (Lib)_Election Day Votes,Elizabeth Melton (Lib)_Advanced Voting Votes,Elizabeth Melton (Lib)_Absentee by Mail Votes,Elizabeth Melton (Lib)_Provisional Votes,Elizabeth Melton (Lib)_Choice Total,Total,
0,Troup,Hollis Hand,3554,431,1152,460,1,2044,97,261,193,2,553,31,42,21,0,94,2691,
1,Troup,Administration Bldg,3907,152,355,126,4,637,361,552,417,4,1334,18,24,15,0,57,2028,
2,Troup,Hammett Rd,4354,255,550,213,2,1020,390,777,425,4,1596,29,37,15,0,81,2697,
3,Troup,Griggs Center,2457,28,46,23,1,98,344,404,341,3,1092,13,12,7,2,34,1224,
4,Troup,West Point,2054,169,190,75,3,437,314,193,271,3,781,12,11,9,0,32,1250,
5,Troup,Hogansville,3806,304,1218,232,3,1757,130,426,236,1,793,27,52,15,0,94,2644,
6,Troup,East Vernon,3117,592,1014,319,3,1928,76,180,136,3,395,18,23,15,0,56,2379,
7,Troup,Rosemont,3893,567,1507,410,3,2487,61,245,184,1,491,16,43,15,0,74,3052,
8,Troup,McClendon,3533,507,1331,276,7,2121,97,304,167,1,569,18,32,11,0,61,2751,
9,Troup,Long Cane,3249,590,927,217,2,1736,132,273,167,0,572,33,28,8,2,71,2379,
10,Troup,Gardner Newman,2876,247,739,207,4,1197,156,457,203,2,818,17,28,10,0,55,2070,
11,Troup,Gray Hill,1878,449,421,91,7,968,102,133,101,0,336,16,10,6,0,32,1336,
12,Troup,Highland,1686,117,301,88,0,506,105,292,166,2,565,5,14,6,0,25,1096,
13,Troup,Northside,2600,195,668,194,4,1061,172,331,204,1,708,17,18,6,0,41,1810,
